rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/value_loss,train/explained_variance,train/is_line_search_success,train/n_updates,train/kl_divergence_loss,train/policy_objective,train/learning_rate,train/std
243.0783,24.0,53,2789,149504,73,331.38568325042723,0.9551277793943882,1.0,72,0.008099532686173916,0.07106025516986847,0.001,1.0005683898925781
256.45799,24.0,53,2827,151552,74,272.28706684112547,0.9647983685135841,1.0,73,0.008787966333329678,0.09065119177103043,0.001,0.99786376953125
263.55216,24.0,53,2865,153600,75,250.87804946899413,0.9702353905886412,1.0,74,0.008006862364709377,0.06646858155727386,0.001,1.000813364982605
271.87755,24.0,53,2902,155648,76,283.3556999206543,0.9698497597128153,1.0,75,0.0067499116994440556,0.05876138433814049,0.001,1.0036832094192505
276.02921000000003,24.0,53,2940,157696,77,264.5866003036499,0.9718800764530897,1.0,76,0.009420475922524929,0.08544865995645523,0.001,1.0111113786697388
286.76631,24.0,53,2978,159744,78,251.11059694290162,0.9724748004227877,1.0,77,0.008644304238259792,0.0652228444814682,0.001,1.019063115119934
294.44776,24.0,53,3016,161792,79,266.57370405197145,0.9724279344081879,1.0,78,0.008464296348392963,0.05612407997250557,0.001,1.0141117572784424
305.01158000000004,24.0,53,3053,163840,80,244.84464387893678,0.9758207723498344,1.0,79,0.008812302723526955,0.062238164246082306,0.001,1.0114235877990723
315.07096,24.0,53,3091,165888,81,249.60777921676635,0.9761013630777597,1.0,80,0.00765934307128191,0.05135451629757881,0.001,1.0155280828475952
324.45326,24.0,53,3128,167936,82,263.16082391738894,0.9749130383133888,1.0,81,0.007528959307819605,0.07753315567970276,0.001,1.011885404586792
325.34628,24.0,53,3166,169984,83,252.62893495559692,0.9747390206903219,1.0,82,0.009510569274425507,0.08617018163204193,0.001,1.0128264427185059
331.27403,24.0,53,3204,172032,84,253.37081270217897,0.9759809598326683,1.0,83,0.007342278957366943,0.06315045803785324,0.001,1.0120359659194946
345.08507999999995,24.0,53,3242,174080,85,238.09900369644166,0.9783705603331327,1.0,84,0.008671518415212631,0.042878247797489166,0.001,1.0156598091125488
351.86494999999996,24.0,53,3281,176128,86,222.9148229598999,0.9807066190987825,1.0,85,0.00835251435637474,0.05998910963535309,0.001,1.0132979154586792
357.14793999999995,24.0,53,3319,178176,87,230.4976863861084,0.9798045884817839,1.0,86,0.008402838371694088,0.06752841174602509,0.001,1.0135008096694946
366.16184999999996,24.0,53,3356,180224,88,223.30852708816528,0.982474148273468,1.0,87,0.008858567103743553,0.06706187129020691,0.001,1.0109440088272095
367.75525999999996,24.0,53,3394,182272,89,234.69545860290526,0.9821860790252686,1.0,88,0.009519902057945728,0.05633105710148811,0.001,1.0127063989639282
373.62507,24.0,53,3431,184320,90,221.59231386184692,0.9823667593300343,1.0,89,0.008497793227434158,0.07412199676036835,0.001,1.0123417377471924
383.77857000000006,24.0,53,3468,186368,91,226.7464708328247,0.9823284037411213,1.0,90,0.008611220866441727,0.0757385715842247,0.001,1.012475609779358
395.2617600000001,24.0,53,3506,188416,92,222.35911493301393,0.9831034578382969,1.0,91,0.008838165551424026,0.08279167860746384,0.001,1.0058214664459229
407.78504999999996,24.0,53,3544,190464,93,212.66696367263793,0.9852243326604366,1.0,92,0.008807696402072906,0.08342283964157104,0.001,1.007064700126648
413.2863600000001,24.0,53,3581,192512,94,236.2956970214844,0.9837765861302614,1.0,93,0.007811918389052153,0.07130088657140732,0.001,1.0064032077789307
423.47088,24.0,53,3619,194560,95,230.08497295379638,0.9842165131121874,1.0,94,0.009184525348246098,0.08096137642860413,0.001,1.0047086477279663
425.56355,24.0,53,3656,196608,96,236.50415258407594,0.9839010331779718,1.0,95,0.008562675677239895,0.07760196179151535,0.001,0.9941370487213135
435.64073999999994,24.0,53,3695,198656,97,237.13576707839965,0.9847009880468249,1.0,96,0.00867618340998888,0.0774478018283844,0.001,0.9979709386825562
441.01482,24.0,53,3731,200704,98,241.8803949356079,0.984748569317162,1.0,97,0.00827064085751772,0.06930164992809296,0.001,0.9946340322494507
445.13444000000004,24.0,53,3769,202752,99,220.92342329025269,0.9861104106530547,1.0,98,0.009666958823800087,0.05835513770580292,0.001,0.9897056818008423
449.23793,24.0,53,3807,204800,100,223.54105548858644,0.9863313585519791,1.0,99,0.008319822140038013,0.06618653982877731,0.001,0.9934131503105164
459.25837,24.0,53,3844,206848,101,232.358913230896,0.9854013249278069,1.0,100,0.008481678552925587,0.06348850578069687,0.001,0.9910752773284912
461.32088,24.0,53,3881,208896,102,234.2010467529297,0.9864158490672708,1.0,101,0.007737274747341871,0.07284755259752274,0.001,0.9890695810317993
465.57992999999993,24.0,53,3919,210944,103,230.97274084091185,0.9865707624703646,1.0,102,0.00930215697735548,0.06807509809732437,0.001,0.9843670129776001
473.92884,24.0,53,3958,212992,104,229.03338203430175,0.9858375433832407,1.0,103,0.00878051295876503,0.07586338371038437,0.001,0.978999674320221
479.85917,24.0,53,3994,215040,105,234.03631868362427,0.9868855765089393,1.0,104,0.008296910673379898,0.07658196985721588,0.001,0.9763274788856506
485.73374,24.0,53,4032,217088,106,215.03516750335694,0.9880823902785778,1.0,105,0.008311339654028416,0.062623992562294,0.001,0.9685444235801697
497.90729999999996,24.0,53,4069,219136,107,239.107248878479,0.9870151439681649,1.0,106,0.008463410660624504,0.08217114210128784,0.001,0.9663311243057251
502.16246,24.0,53,4106,221184,108,230.46884784698486,0.9877933012321591,1.0,107,0.008976125158369541,0.08384361118078232,0.001,0.9639576077461243
