time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/clip_fraction,train/entropy_loss,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/clip_range,train/value_loss,train/explained_variance,train/loss,train/policy_gradient_loss
1059,29,-498.55554000000006,59392,24.0,56,0.122021484375,-15.317721354961396,0.9753764867782593,0.0003,0.011085281,280,0.2,32636.67400512695,0.0,19073.4296875,-0.005803050895337947
1098,30,-498.06577,61440,24.0,55,0.11845703125,-15.359616139531136,0.9812150597572327,0.0003,0.009103224,290,0.2,31646.851446533205,5.960464477539063e-08,16277.20703125,-0.006189786939648912
1137,31,-488.74305,63488,24.0,55,0.154931640625,-15.392241513729095,0.9822629690170288,0.0003,0.012825042,300,0.2,30921.97609863281,2.384185791015625e-07,11891.9736328125,-0.010048098668630701
1176,32,-489.98965999999996,65536,24.0,55,0.1396484375,-15.35113075375557,0.9756918549537659,0.0003,0.011328424,310,0.2,28567.314459228517,1.7881393432617188e-07,14507.861328125,-0.00794209092418896
1215,33,-484.37005999999997,67584,24.0,55,0.142333984375,-15.297943615913391,0.9729419946670532,0.0003,0.012508208,320,0.2,27783.665759277344,9.5367431640625e-07,13247.7177734375,-0.0060772801443818025
1253,34,-484.8601099999999,69632,24.0,55,0.155908203125,-15.304832723736762,0.9757336974143982,0.0003,0.012268404,330,0.2,26261.881756591796,6.556510925292969e-07,11061.1787109375,-0.0036342702587717213
1292,35,-488.85213000000005,71680,24.0,55,0.13134765625,-15.337312749028206,0.9786264896392822,0.0003,0.013063421,340,0.2,25882.92579345703,5.960464477539062e-07,13669.748046875,-0.0029562125353550074
1330,36,-496.19476,73728,24.0,55,0.13828125,-15.386199632287026,0.9833984971046448,0.0003,0.0100954175,350,0.2,25811.138873291016,8.940696716308594e-07,11922.529296875,-0.005066924722632394
1369,37,-495.66413,75776,24.0,55,0.143701171875,-15.367827516794204,0.9773681163787842,0.0003,0.01397057,360,0.2,26194.71321411133,7.152557373046875e-07,12438.9208984375,-0.004508114547934383
1409,38,-492.73328999999995,77824,24.0,55,0.19384765625,-15.36032276749611,0.9811195135116577,0.0003,0.015202565,370,0.2,25224.259643554688,7.748603820800781e-07,13019.45703125,-0.007766962025198154
1448,39,-493.07256,79872,24.0,55,0.137109375,-15.404208391904831,0.9857864379882812,0.0003,0.010067914,380,0.2,24243.105346679688,9.5367431640625e-07,9882.130859375,-0.004088555902126245
1486,40,-493.73437999999993,81920,24.0,55,0.136376953125,-15.434364542365074,0.9862544536590576,0.0003,0.011838444,390,0.2,23893.699481201173,8.344650268554688e-07,12309.771484375,-0.006349032642901875
1525,41,-492.31689,83968,24.0,55,0.123974609375,-15.400217735767365,0.9800460338592529,0.0003,0.0099882,400,0.2,23443.40479736328,1.0132789611816406e-06,9795.263671875,-0.006111075037915725
1566,42,-493.95887999999997,86016,24.0,54,0.15712890625,-15.37425032556057,0.9812808632850647,0.0003,0.015714614,410,0.2,22687.3009765625,1.0728836059570312e-06,12349.181640625,-0.008533229712338653
1605,43,-496.08477,88064,24.0,54,0.11162109375,-15.371263855695725,0.9803959131240845,0.0003,0.008393815,420,0.2,22654.129852294922,3.5762786865234375e-06,12607.037109375,-0.01091393888782477
1644,44,-494.15778,90112,24.0,54,0.069677734375,-15.370733758807182,0.9810740947723389,0.0003,0.009282211,430,0.2,22492.251177978516,0.03652459383010864,10941.2763671875,-0.00890145866869716
1683,45,-492.08524,92160,24.0,54,0.08193359375,-15.369959071278572,0.979820191860199,0.0003,0.007473306,440,0.2,22080.299102783203,0.03954583406448364,10200.7392578125,-0.006994323561957572
1723,46,-493.83856,94208,24.0,54,0.068798828125,-15.368440529704094,0.981116533279419,0.0003,0.009408541,450,0.2,21776.894833374023,0.039992451667785645,10334.2490234375,-0.002491780009586364
1762,47,-493.6115499999999,96256,24.0,54,0.074267578125,-15.367159655690193,0.9799004197120667,0.0003,0.008581247,460,0.2,21672.90496826172,0.044957101345062256,12370.7314453125,-0.004758404011954554
1801,48,-494.16650000000004,98304,24.0,54,0.121875,-15.376040163636208,0.9820449352264404,0.0003,0.010945306,470,0.2,21455.703863525392,0.04341578483581543,10575.5458984375,-0.00839015302626649
1840,49,-490.1862100000001,100352,24.0,54,0.10615234375,-15.387207353115082,0.9822752475738525,0.0003,0.009414148,480,0.2,21281.10170288086,0.04252517223358154,10960.8583984375,-0.006012154083873611
