train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/value_loss,train/policy_loss,time/iterations,rollout/ep_rew_mean,train/std,time/fps
10199,0.0007,1.31E-05,-16.74235535,24,952,51000,4448.897461,-1023.453796,10200,-322.54401,1.111573935,53
10299,0.0007,0,-16.80258942,24,962,51500,3489.000488,-905.6575317,10300,-308.43785,1.117487311,53
10399,0.0007,-0.000153422,-16.82769585,24,971,52000,1500.091064,-604.6539307,10400,-307.74972,1.120241761,53
10499,0.0007,0.936504483,-16.86776161,24,981,52500,67.41722107,-89.44618225,10500,-306.58167,1.124358296,53
10599,0.0007,-0.608826518,-16.86918831,24,990,53000,33783.40625,1794.00293,10600,-323.32962,1.124153018,53
10699,0.0007,0,-16.92141724,24,1000,53500,14431.62207,-2058.2771,10700,-355.39736,1.12940836,53
10799,0.0007,0,-16.9523716,24,1009,54000,11635.41797,-1758.796265,10800,-394.64382,1.132611394,53
10899,0.0007,0,-16.96898651,24,1019,54500,6444.464355,-1208.441284,10900,-417.56202,1.134897351,53
10999,0.0007,-1.19E-06,-16.98913765,24,1028,55000,809.121582,-431.4401245,11000,-422.55476,1.136719942,53
11099,0.0007,0.823796347,-16.96144867,24,1038,55500,106.657692,-25.16454506,11100,-395.413,1.133695722,53
11199,0.0007,-0.895080328,-16.96440887,24,1047,56000,43169.39063,2319.429688,11200,-359.47248,1.1340909,53
11299,0.0007,3.34E-06,-16.99765205,24,1057,56500,5788.196777,-1106.483276,11300,-314.16969,1.137592793,53
11399,0.0007,0,-17.01990891,24,1066,57000,3482.484863,-879.7999878,11400,-269.28493,1.139750957,53
11499,0.0007,0,-17.02258492,24,1076,57500,239.0984344,-252.2156067,11500,-245.77019,1.139822483,53
11599,0.0007,0,-17.04171562,24,1085,58000,355.2852173,-288.0003052,11600,-224.75766,1.14218533,53
11699,0.0007,0.78271313,-17.08298683,24,1095,58500,145.0063782,16.66648483,11700,-218.52107,1.146169543,53
11799,0.0007,-0.710244417,-17.08802795,24,1105,59000,49536.17578,2085.659424,11800,-211.25994,1.146330237,53
11899,0.0007,0,-17.09550285,24,1114,59500,7858.899902,-1503.921143,11900,-222.08094,1.146489382,53
11999,0.0007,1.19E-07,-17.13395691,24,1124,60000,4260.85498,-1020.456055,12000,-227.8497,1.151097655,53
12099,0.0007,0,-17.15610504,24,1134,60500,426.9470825,-328.3627319,12100,-231.22371,1.153649807,53
12199,0.0007,0,-17.20606804,24,1143,61000,32.94041824,-104.6614838,12200,-218.2199,1.158513308,53
12299,0.0007,0.966274183,-17.22377586,24,1153,61500,71.10729218,107.5762558,12300,-208.71659,1.161006808,53
12399,0.0007,-0.779184937,-17.24134064,24,1162,62000,55291.26172,2820.741699,12400,-198.26719,1.162603617,53
12499,0.0007,0.045007825,-17.27919388,24,1172,62500,1156.552124,-535.7628174,12500,-179.15458,1.166947961,53
12599,0.0007,0,-17.27373695,24,1181,63000,2382.714355,-715.7998047,12600,-159.9509,1.166533709,53
12699,0.0007,0,-17.25960732,24,1191,63500,1641.849854,-675.8587036,12700,-161.17571,1.164735675,53
12799,0.0007,0.006704032,-17.29270172,24,1200,64000,191.7729492,182.7026062,12800,-147.34502,1.167672276,53
12899,0.0007,0.906783819,-17.2731781,24,1209,64500,66.42111969,-56.6615715,12900,-122.74183,1.166368127,53
12999,0.0007,-0.834637761,-17.28278542,24,1219,65000,62258.16406,2513.183105,13000,-110.88916,1.16738975,53
13099,0.0007,0.00542289,-17.30223656,24,1228,65500,2071.745605,-689.5563354,13100,-100.97947,1.169392109,53
13199,0.0007,0,-17.28539848,24,1237,66000,3486.580566,-1077.293579,13200,-96.78295,1.166488647,53
13299,0.0007,5.96E-08,-17.32469368,24,1247,66500,766.880188,-432.5439453,13300,-108.75836,1.171455383,53
13399,0.0007,-0.006788373,-17.32768631,24,1256,67000,90.42829895,-136.1189728,13400,-120.71643,1.171970606,53
13499,0.0007,0.953129292,-17.33930969,24,1266,67500,77.61210632,122.2717056,13500,-144.38129,1.172688007,53
13599,0.0007,-0.780168891,-17.37464714,24,1275,68000,64514.73047,3045.652832,13600,-156.09407,1.176671505,53
13699,0.0007,0.164279699,-17.37752151,24,1285,68500,3147.365967,-841.8322144,13700,-151.53417,1.176985145,53
13799,0.0007,5.19E-06,-17.37743187,24,1294,69000,771.4153442,-507.9650269,13800,-136.166,1.176343679,53
13899,0.0007,0,-17.43715477,24,1304,69500,469.5908813,-316.0880127,13900,-127.52402,1.183533072,53
13999,0.0007,0.021769822,-17.47606468,24,1313,70000,176.0478516,113.5622559,14000,-112.24803,1.186627984,53
14099,0.0007,0.99531312,-17.48879051,24,1323,70500,10.77377415,48.44541931,14100,-102.6005,1.188477039,53
14199,0.0007,-0.85724318,-17.50592422,24,1332,71000,70022.58594,3333.063232,14200,-96.48425,1.190327525,53
14299,0.0007,0.130226612,-17.54257965,24,1342,71500,940.5098877,-494.8645935,14300,-100.17976,1.194543362,53
14399,0.0007,-2.49E-05,-17.56121826,24,1351,72000,3.716672182,-19.45168304,14400,-81.04015,1.196499586,53
14499,0.0007,-2.86E-06,-17.50261497,24,1360,72500,135.0771332,-209.3659363,14500,-61.97672,1.189787984,53
14599,0.0007,0.432289124,-17.48866653,24,1370,73000,25.27140427,-71.46097565,14600,-48.42006,1.188415647,53
14699,0.0007,0.990140059,-17.51070023,24,1379,73500,115.8340073,181.5521088,14700,-49.70428,1.190952778,53
14799,0.0007,-0.965037704,-17.52047539,24,1389,74000,72163.02344,3426.005127,14800,-50.62099,1.192125201,53
14899,0.0007,0.013734818,-17.52548981,24,1398,74500,1964.259766,-678.3724976,14900,-62.11938,1.192903519,53
14999,0.0007,0.003694355,-17.54102898,24,1408,75000,937.5066528,-511.6377869,15000,-76.91862,1.194117427,53
15099,0.0007,-0.000174642,-17.55827522,24,1417,75500,834.5953369,-398.8690796,15100,-82.50755,1.19733274,53
15199,0.0007,-3.01093483,-17.57309723,24,1427,76000,209.0754395,-232.3808136,15200,-91.78859,1.198052526,53
15299,0.0007,0.970100647,-17.5846405,24,1437,76500,71.7587204,116.1205215,15300,-112.47415,1.19938302,53
15399,0.0007,-0.874508142,-17.58958626,24,1446,77000,73431.35156,2663.571777,15400,-133.96006,1.200157046,53
15499,0.0007,0.045325637,-17.60127258,24,1456,77500,3952.972656,-1026.004639,15500,-145.13407,1.201053619,53
15599,0.0007,0.017705023,-17.60493088,24,1465,78000,1524.639282,-612.5355225,15600,-152.91314,1.20185864,53
15699,0.0007,0,-17.63706017,24,1475,78500,375.9389038,-332.4269104,15700,-146.57992,1.204908729,53
15799,0.0007,0.710500389,-17.6750412,24,1484,79000,30.99547386,17.79447556,15800,-134.36358,1.209324956,53
15899,0.0007,0.869474113,-17.704916,24,1494,79500,241.7002258,-213.8754578,15900,-129.09629,1.212839127,53
15999,0.0007,-0.822841167,-17.70822144,24,1503,80000,75611.9375,3267.463623,16000,-119.77126,1.213803768,53
16099,0.0007,0.122930229,-17.7358036,24,1513,80500,2970.332031,-961.1115112,16100,-122.99432,1.216371655,53
16199,0.0007,0,-17.76582718,24,1522,81000,4779.206055,-1074.200439,16200,-125.69854,1.220451832,53
16299,0.0007,0,-17.77224922,24,1532,81500,267.8910522,-269.2174988,16300,-130.52097,1.221592307,53
16399,0.0007,0.521751285,-17.81627083,24,1541,82000,82.93499756,-142.2296448,16400,-139.39669,1.225940824,53
16499,0.0007,0.853463501,-17.81887817,24,1551,82500,299.8521729,231.9520721,16500,-157.63934,1.226774693,53
16599,0.0007,-0.710424662,-17.79759598,24,1561,83000,76432.73438,2654.177734,16600,-165.64573,1.224059582,53
16699,0.0007,0.224389434,-17.86717987,24,1570,83500,5698.385254,-1363.137451,16700,-175.39884,1.23212862,53
