train/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/delta_std,train/step_size,train/learning_rate,time/fps,rollout/return_std
147,56832,608.43825,24,1026,0.05,0.00027782,0.02,55,8.998634338
148,57216,613.9081875,24,1033,0.05,0.000466876,0.02,55,5.354743481
149,57600,561.4461875,24,1040,0.05,1.33E-05,0.02,55,188.1009674
150,57984,610.79475,24,1047,0.05,0.000137042,0.02,55,18.24256325
151,58368,603.1995,24,1054,0.05,5.92E-05,0.02,55,42.24881744
152,58752,613.966375,24,1061,0.05,0.000326896,0.02,55,7.647699356
153,59136,602.8305625,24,1068,0.05,5.59E-05,0.02,55,44.70546341
154,59520,612.093625,24,1074,0.05,0.000273076,0.02,55,9.154968262
155,59904,605.551125,24,1081,0.05,0.000116344,0.02,55,21.48797226
156,60288,604.3725,24,1088,0.05,0.000142177,0.02,55,17.58370781
157,60672,609.8966875,24,1095,0.05,0.000176414,0.02,55,14.17121124
158,61056,580.45575,24,1102,0.05,3.49E-05,0.02,55,71.61090851
159,61440,614.56225,24,1109,0.05,0.000535205,0.02,55,4.671105385
160,61824,610.6724375,24,1116,0.05,0.000194075,0.02,55,12.88163471
161,62208,603.0380625,24,1123,0.05,5.29E-05,0.02,55,47.28100586
162,62592,617.3559375,24,1130,0.05,0.000542821,0.02,55,4.605566025
163,62976,611.287125,24,1137,0.05,0.000212814,0.02,55,11.74734688
164,63360,603.381625,24,1143,0.05,5.36E-05,0.02,55,46.67496872
165,63744,531.569375,24,1150,0.05,1.04E-05,0.02,55,239.4512787
166,64128,603.486,24,1157,0.05,5.40E-05,0.02,55,46.25859451
167,64512,606.007625,24,1164,0.05,6.23E-05,0.02,55,40.12760925
168,64896,611.401375,24,1171,0.05,0.000329358,0.02,55,7.590531826
169,65280,580.371,24,1178,0.05,2.08E-05,0.02,55,120.0989304
170,65664,612.274875,24,1185,0.05,0.000286318,0.02,55,8.731548309
171,66048,561.042125,24,1192,0.05,1.25E-05,0.02,55,199.7044373
172,66432,447.5334375,24,1199,0.05,6.63E-06,0.02,55,377.1543884
173,66816,613.9725625,24,1206,0.05,0.000234879,0.02,55,10.64379215
174,67200,472.66675,24,1213,0.05,4.39E-06,0.02,55,569.6254272
175,67584,605.2615,24,1220,0.05,5.46E-05,0.02,55,45.79842377
176,67968,609.866625,24,1227,0.05,0.000199932,0.02,55,12.50425339
177,68352,600.960875,24,1234,0.05,5.46E-05,0.02,55,45.75571823
178,68736,615.845,24,1241,0.05,0.000421811,0.02,55,5.926820278
179,69120,564.274,24,1248,0.05,1.17E-05,0.02,55,213.0383911
180,69504,613.3956875,24,1255,0.05,0.000214725,0.02,55,11.64277554
181,69888,514.0733125,24,1261,0.05,8.75E-06,0.02,55,285.8427124
182,70272,467.2108125,24,1268,0.05,6.18E-06,0.02,55,404.5114441
183,70656,611.0040625,24,1275,0.05,0.00017424,0.02,55,14.34801483
184,71040,616.734125,24,1282,0.05,0.000454984,0.02,55,5.494702339
185,71424,614.1308125,24,1289,0.05,0.000199635,0.02,55,12.5228653
186,71808,621.0254375,24,1296,0.05,0.000330597,0.02,55,7.562072277
187,72192,609.1228125,24,1303,0.05,5.47E-05,0.02,55,45.70500946
188,72576,602.8905,24,1310,0.05,4.37E-05,0.02,55,57.223629
189,72960,619.9085625,24,1317,0.05,0.000371503,0.02,55,6.729422092
190,73344,534.53225,24,1324,0.05,9.87E-06,0.02,55,253.3026733
191,73728,621.5873125,24,1331,0.05,0.000409475,0.02,55,6.105385303
192,74112,621.2968125,24,1338,0.05,0.000336268,0.02,55,7.434546471
193,74496,498.746125,24,1345,0.05,7.71E-06,0.02,55,324.2951965
194,74880,620.5063125,24,1352,0.05,0.000399438,0.02,55,6.258794308
195,75264,607.6444375,24,1359,0.05,5.55E-05,0.02,55,45.0366745
196,75648,581.76875,24,1366,0.05,1.67E-05,0.02,55,150.0232239
197,76032,619.5911875,24,1373,0.05,0.000250594,0.02,55,9.976278305
198,76416,616.7863125,24,1380,0.05,0.000233603,0.02,55,10.70191383
199,76800,620.6384375,24,1387,0.05,0.000438753,0.02,55,5.697963238
200,77184,616.8380625,24,1394,0.05,0.000221586,0.02,55,11.28230095
201,77568,623.3871875,24,1400,0.05,0.000308353,0.02,55,8.107596397
202,77952,621.6420625,24,1407,0.05,0.00022027,0.02,55,11.34971428
203,78336,577.322875,24,1414,0.05,3.07E-05,0.02,55,81.5170517
204,78720,608.7895,24,1421,0.05,5.46E-05,0.02,55,45.76190186
205,79104,619.543125,24,1428,0.05,0.000211124,0.02,55,11.84139824
206,79488,599.83675,24,1435,0.05,3.91E-05,0.02,55,63.94121933
207,79872,623.945625,24,1442,0.05,0.000658572,0.02,55,3.796091795
208,80256,609.255625,24,1449,0.05,5.21E-05,0.02,55,47.98631668
209,80640,621.876,24,1456,0.05,0.0003314,0.02,55,7.54376173
210,81024,624.6629375,24,1463,0.05,0.000579268,0.02,55,4.315794945
211,81408,621.4843125,24,1469,0.05,0.000276132,0.02,55,9.053627014
212,81792,623.3941875,24,1476,0.05,0.000450128,0.02,55,5.553972244
213,82176,621.3389375,24,1483,0.05,0.000337803,0.02,55,7.400763988
214,82560,614.791125,24,1490,0.05,5.71E-05,0.02,55,43.80222702
215,82944,443.2579375,24,1497,0.05,3.42E-06,0.02,55,731.0626221
216,83328,624.35675,24,1504,0.05,0.000449279,0.02,55,5.564466
217,83712,611.4855,24,1511,0.05,5.32E-05,0.02,55,46.95033646
218,84096,623.85375,24,1518,0.05,0.000426647,0.02,55,5.859642506
219,84480,625.18025,24,1525,0.05,0.00053212,0.02,55,4.698189259
220,84864,624.8943125,24,1532,0.05,0.000394556,0.02,55,6.336243153
221,85248,557.7694375,24,1539,0.05,1.14E-05,0.02,55,220.2459259
222,85632,624.978375,24,1546,0.05,0.000347118,0.02,55,7.20215416
223,86016,624.56825,24,1553,0.05,0.000305574,0.02,55,8.181316376
224,86400,589.93125,24,1560,0.05,3.35E-05,0.02,55,74.59326172
225,86784,622.41175,24,1566,0.05,0.000320723,0.02,55,7.794884205
226,87168,620.3684375,24,1574,0.05,0.000243317,0.02,55,10.27464199
227,87552,626.0694375,24,1580,0.05,0.000517291,0.02,55,4.832866192
228,87936,615.506875,24,1587,0.05,5.34E-05,0.02,55,46.78926849
229,88320,626.4325,24,1594,0.05,0.000711139,0.02,55,3.515486002
230,88704,548.39275,24,1601,0.05,9.08E-06,0.02,55,275.2843933
231,89088,627.3878125,24,1608,0.05,0.000418799,0.02,55,5.969448566
232,89472,592.2809375,24,1615,0.05,1.81E-05,0.02,55,137.7448578
233,89856,615.9819375,24,1622,0.05,5.36E-05,0.02,55,46.61343002
234,90240,627.3893125,24,1629,0.05,0.000309377,0.02,55,8.080766678
235,90624,624.933125,24,1636,0.05,0.000328098,0.02,55,7.619667053
236,91008,623.7163125,24,1642,0.05,0.000175015,0.02,55,14.28445244
237,91392,620.3840625,24,1650,0.05,0.000117835,0.02,55,21.21616364
238,91776,623.935625,24,1656,0.05,0.000324586,0.02,55,7.702114105
239,92160,626.07625,24,1663,0.05,0.000365774,0.02,55,6.834812641
240,92544,611.764375,24,1670,0.05,5.37E-05,0.02,55,46.59722137
241,92928,624.8575,24,1677,0.05,0.00030667,0.02,55,8.152097702
242,93312,626.2958125,24,1684,0.05,0.000452545,0.02,55,5.524313927
243,93696,609.42675,24,1691,0.05,4.02E-05,0.02,55,62.11853409
244,94080,628.4619375,24,1698,0.05,0.000620142,0.02,55,4.031333923
245,94464,628.8553125,24,1705,0.05,0.000618088,0.02,55,4.044732094
246,94848,616.215625,24,1712,0.05,5.48E-05,0.02,55,45.64439774
247,95232,630.2315625,24,1718,0.05,0.000489297,0.02,55,5.109373093
248,95616,622.754125,24,1726,0.05,0.000171121,0.02,55,14.60953808
249,96000,573.4586875,24,1733,0.05,1.18E-05,0.02,55,212.2763214
250,96384,574.178375,24,1739,0.05,1.17E-05,0.02,55,214.0468903
251,96768,630.2553125,24,1746,0.05,0.00074042,0.02,55,3.376461983
252,97152,629.76825,24,1753,0.05,0.000472577,0.02,55,5.290139198
253,97536,626.3740625,24,1760,0.05,0.000363962,0.02,55,6.86884737
254,97920,624.290625,24,1767,0.05,0.000285259,0.02,55,8.763957024
255,98304,629.152625,24,1774,0.05,0.000485804,0.02,55,5.146107674
256,98688,628.878125,24,1781,0.05,0.000621402,0.02,55,4.023157597
257,99072,628.59875,24,1788,0.05,0.000482367,0.02,55,5.182777882
258,99456,627.573375,24,1795,0.05,0.000437225,0.02,55,5.717881203
259,99840,630.370875,24,1802,0.05,0.000598042,0.02,55,4.180310249
260,100224,626.7309375,24,1809,0.05,0.000306263,0.02,55,8.162930489
261,100608,627.376125,24,1816,0.05,0.000349454,0.02,55,7.154019833
262,100992,630.50025,24,1823,0.05,0.000373812,0.02,55,6.687851906
263,101376,630.8435625,24,1829,0.05,0.000697575,0.02,55,3.583842039
264,101760,627.683125,24,1836,0.05,0.000561996,0.02,55,4.448433876
265,102144,589.868125,24,1843,0.05,1.72E-05,0.02,55,145.5496368
266,102528,628.699125,24,1850,0.05,0.000421921,0.02,55,5.925285339
267,102912,626.4325,24,1857,0.05,0.000300659,0.02,55,8.315065384
268,103296,627.0375,24,1864,0.05,0.000485286,0.02,55,5.1515975
269,103680,628.775375,24,1871,0.05,0.00050518,0.02,55,4.948732376
270,104064,627.0645,24,1878,0.05,0.000376763,0.02,55,6.635472298
271,104448,625.05975,24,1885,0.05,0.000304541,0.02,55,8.209072113
272,104832,630.373875,24,1892,0.05,0.000646225,0.02,55,3.868623972
273,105216,629.083125,24,1899,0.05,0.000635624,0.02,55,3.933145285
274,105600,631.9601875,24,1906,0.05,0.000826696,0.02,55,3.024087429
275,105984,631.0183125,24,1913,0.05,0.000681892,0.02,55,3.666269302
276,106368,631.65,24,1919,0.05,0.000665255,0.02,55,3.757957935
277,106752,631.6335625,24,1926,0.05,0.00062232,0.02,55,4.017224789
278,107136,596.826625,24,1933,0.05,1.98E-05,0.02,55,126.1219635
279,107520,618.096625,24,1940,0.05,5.27E-05,0.02,55,47.46317291
