time/total_timesteps,train/learning_rate,train/entropy_loss,time/time_elapsed,train/policy_loss,train/value_loss,train/n_updates,train/explained_variance,train/std,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations
44500,0.0007,-17.232255935668945,563,-1592.677490234375,9095.4599609375,8899,0.5056736767292023,1.161004662513733,79,-554.75636,24.0,8900
45000,0.0007,-17.23587989807129,569,-1696.3353271484375,13487.4345703125,8999,0.0054427385330200195,1.1613906621932983,79,-555.0735000000001,24.0,9000
45500,0.0007,-17.266525268554688,575,-1763.0244140625,10054.1767578125,9099,-2.384185791015625e-07,1.164183259010315,79,-553.79787,24.0,9100
46000,0.0007,-17.308019638061523,581,-975.9959106445312,3811.538330078125,9199,0.0,1.1691323518753052,79,-558.1956799999999,24.0,9200
46500,0.0007,-17.294584274291992,588,-203.05313110351562,249.49398803710938,9299,0.7232092618942261,1.1678379774093628,79,-552.17783,24.0,9300
47000,0.0007,-17.320911407470703,594,1603.09765625,26771.70703125,9399,-0.9679447412490845,1.1705050468444824,79,-547.8370299999999,24.0,9400
47500,0.0007,-17.35879898071289,600,-1907.4849853515625,17071.591796875,9499,0.0008805990219116211,1.1746971607208252,79,-544.3960099999999,24.0,9500
48000,0.0007,-17.387521743774414,607,-1856.996826171875,13733.5,9599,6.556510925292969e-06,1.17754328250885,79,-538.6519099999999,24.0,9600
48500,0.0007,-17.39752960205078,613,-1185.6064453125,5524.8291015625,9699,4.9054622650146484e-05,1.1786750555038452,79,-527.93012,24.0,9700
49000,0.0007,-17.411518096923828,619,-703.0216064453125,2338.954345703125,9799,0.0,1.1805477142333984,79,-516.01618,24.0,9800
49500,0.0007,-17.457460403442383,625,-317.78411865234375,391.4217224121094,9899,0.7275993227958679,1.1851909160614014,79,-505.54191,24.0,9900
50000,0.0007,-17.49185562133789,632,1444.334228515625,20043.853515625,9999,-0.060999512672424316,1.1889276504516602,79,-504.04047999999995,24.0,10000
50500,0.0007,-17.464366912841797,638,-1987.231201171875,18306.48046875,10099,0.004497945308685303,1.1861709356307983,79,-507.21038999999996,24.0,10100
51000,0.0007,-17.45775032043457,644,-1570.2547607421875,9481.8154296875,10199,0.008418381214141846,1.1856226921081543,79,-509.49316999999996,24.0,10200
51500,0.0007,-17.456960678100586,650,-793.1196899414062,3453.31884765625,10299,0.0003389716148376465,1.1860138177871704,79,-515.0590400000001,24.0,10300
52000,0.0007,-17.509580612182617,657,-896.28857421875,2908.510009765625,10399,1.1920928955078125e-07,1.1914836168289185,79,-517.17065,24.0,10400
52500,0.0007,-17.522212982177734,663,-139.41714477539062,120.50981140136719,10499,0.835765466094017,1.1930689811706543,79,-498.47745,24.0,10500
53000,0.0007,-17.60174560546875,670,1725.8818359375,23463.33203125,10599,-0.11435592174530029,1.2015571594238281,79,-478.21589,24.0,10600
53500,0.0007,-17.621768951416016,677,-1771.610107421875,11976.47265625,10699,0.2179744839668274,1.2037497758865356,79,-473.3783000000001,24.0,10700
54000,0.0007,-17.640716552734375,683,-1818.3798828125,11373.40625,10799,2.473592758178711e-05,1.2053481340408325,78,-465.53470999999996,24.0,10800
54500,0.0007,-17.61153793334961,689,-1566.359130859375,7120.3203125,10899,0.0,1.2018085718154907,78,-456.43529,24.0,10900
55000,0.0007,-17.672229766845703,696,-902.5333862304688,3086.00146484375,10999,0.0,1.2091323137283325,78,-460.04751000000005,24.0,11000
55500,0.0007,-17.675121307373047,702,-8.78863525390625,240.0037841796875,11099,0.5046662986278534,1.2093185186386108,79,-458.21492,24.0,11100
56000,0.0007,-17.665504455566406,708,2165.59326171875,41217.2890625,11199,-0.5511647462844849,1.2081252336502075,79,-448.49103,24.0,11200
