train/step_size,train/iterations,rollout/ep_rew_mean,time/fps,rollout/return_std,time/total_timesteps,time/time_elapsed,train/delta_std,rollout/ep_len_mean,train/learning_rate
0.0003086721699219197,124,601.4727499999999,52,8.099206924438477,48000,908,0.05,24.0,0.02
0.00036367587745189667,125,604.1345625000001,52,6.874253273010254,48384,916,0.05,24.0,0.02
0.00032744172494858503,126,603.7259375,52,7.634945869445801,48768,923,0.05,24.0,0.02
0.00021526349883060902,127,598.052625,52,11.613673210144043,49152,931,0.05,24.0,0.02
0.0005457354709506035,128,605.403625,52,4.5809736251831055,49536,938,0.05,24.0,0.02
0.00018824399739969522,129,601.0539375,52,13.280635833740234,49920,945,0.05,24.0,0.02
0.0003973876591771841,130,603.5552499999999,52,6.291085720062256,50304,953,0.05,24.0,0.02
0.0001584466954227537,131,598.9021250000001,52,15.778177261352539,50688,960,0.05,24.0,0.02
0.00020554603543132544,132,604.9448125,52,12.162725448608398,51072,967,0.05,24.0,0.02
0.0003918111906386912,133,607.3631250000001,52,6.380623817443848,51456,975,0.05,24.0,0.02
0.000277546641882509,134,605.4137499999999,52,9.007494926452637,51840,982,0.05,24.0,0.02
0.0004365635977592319,135,605.6243125000001,52,5.7265424728393555,52224,990,0.05,24.0,0.02
0.0005160186556167901,136,608.9928124999999,52,4.844785690307617,52608,998,0.05,24.0,0.02
0.0002647846413310617,137,606.501125,52,9.441635131835938,52992,1005,0.05,24.0,0.02
0.00029403751250356436,138,603.070125,52,8.50231647491455,53376,1012,0.05,24.0,0.02
0.00042455497896298766,139,610.533625,52,5.888518810272217,53760,1019,0.05,24.0,0.02
6.797958576498786e-06,140,516.2845,52,367.7574462890625,54144,1027,0.05,24.0,0.02
0.00017323654901701957,141,604.71925,52,14.431134223937988,54528,1034,0.05,24.0,0.02
5.092341234558262e-05,142,599.9725625000001,52,49.09333038330078,54912,1041,0.05,24.0,0.02
0.0001598443923285231,143,604.658,52,15.640210151672363,55296,1049,0.05,24.0,0.02
2.4711973310331814e-05,144,580.862875,52,101.16553497314453,55680,1056,0.05,24.0,0.02
1.3694876543013379e-05,145,565.8438125,52,182.55001831054688,56064,1064,0.05,24.0,0.02
0.0003689465520437807,146,612.2173125,52,6.77604866027832,56448,1071,0.05,24.0,0.02
9.86932991509093e-06,147,548.5969375,52,253.30999755859375,56832,1079,0.05,24.0,0.02
3.2040243240771815e-06,148,398.690875,52,780.2687377929688,57216,1086,0.05,24.0,0.02
0.00020048115402460098,149,609.4885625,52,12.470000267028809,57600,1094,0.05,24.0,0.02
0.00035879615461453795,150,610.7403125,52,6.967744827270508,57984,1101,0.05,24.0,0.02
5.969470294076018e-06,151,490.99693750000006,52,418.797607421875,58368,1109,0.05,24.0,0.02
0.0001680649002082646,152,612.5058125,52,14.875205039978027,58752,1116,0.05,24.0,0.02
2.0767254682141356e-05,153,585.48375,52,120.38182830810547,59136,1124,0.05,24.0,0.02
0.000266473856754601,154,610.7825,52,9.381783485412598,59520,1131,0.05,24.0,0.02
0.00029580784030258656,155,615.9175625,52,8.451432228088379,59904,1138,0.05,24.0,0.02
0.00018266016559209675,156,616.7466875,52,13.686617851257324,60288,1146,0.05,24.0,0.02
2.5617620849516243e-05,157,591.287125,52,97.58907318115234,60672,1153,0.05,24.0,0.02
2.8164828108856454e-05,158,592.958875,52,88.76318359375,61056,1160,0.05,24.0,0.02
0.0002526463067624718,159,614.288,52,9.895256042480469,61440,1168,0.05,24.0,0.02
0.0002265351649839431,160,617.7473749999999,52,11.03581428527832,61824,1175,0.05,24.0,0.02
