time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/n_updates
22,716,-4043.28163,749,24.0,17184,289646.75,-0.058723852038383484,2087.412109375,1.6468080282211304,0.0003,17083
22,720,-4024.66091,754,24.0,17280,556206.625,0.03543838858604431,2273.795654296875,1.6457749605178833,0.0003,17179
22,724,-4005.74329,759,24.0,17376,206813.90625,0.16142047941684723,2335.644287109375,1.6437708139419556,0.0003,17275
22,728,-3995.42072,763,24.0,17472,96597.109375,-0.5116577744483948,2413.0673828125,1.633768916130066,0.0003,17371
22,732,-4001.135669999999,767,24.0,17568,51389.69140625,-0.2414030134677887,2131.0927734375,1.6346627473831177,0.0003,17467
22,736,-3990.2457899999995,771,24.0,17664,87801.265625,0.021856682375073433,2242.93115234375,1.636983871459961,0.0003,17563
22,740,-3976.0369200000005,776,24.0,17760,195025.84375,-0.17089314758777618,2234.620361328125,1.6318053007125854,0.0003,17659
22,744,-3981.1629,780,24.0,17856,123099.859375,0.24475422501564026,2304.49560546875,1.620955228805542,0.0003,17755
22,748,-3955.670360000001,785,24.0,17952,664521.5,-0.6069363951683044,2043.359619140625,1.6120328903198242,0.0003,17851
22,752,-3964.720190000001,789,24.0,18048,96589.625,0.6149901151657104,1993.145751953125,1.6123073101043701,0.0003,17947
22,756,-3976.86431,793,24.0,18144,410497.40625,-0.008805759251117706,2038.63671875,1.607123851776123,0.0003,18043
22,760,-3959.7302,797,24.0,18240,114620.65625,0.3713529706001282,2134.9921875,1.6035428047180176,0.0003,18139
22,764,-3960.31261,801,24.0,18336,107112.609375,0.08298024535179138,2193.579345703125,1.6029738187789917,0.0003,18235
22,768,-3990.12736,806,24.0,18432,237847.4375,0.6339975595474243,2041.92236328125,1.5996311902999878,0.0003,18331
22,772,-3980.2227900000003,810,24.0,18528,440793.5,0.49681779742240906,2055.1640625,1.6090614795684814,0.0003,18427
22,776,-3958.2429400000005,814,24.0,18624,405801.3125,0.04708638787269592,2068.503662109375,1.5979336500167847,0.0003,18523
22,780,-3971.35266,819,24.0,18720,53330.0859375,0.21632032096385956,2155.822265625,1.5930707454681396,0.0003,18619
