train/step_size,rollout/return_std,time/time_elapsed,train/delta_std,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/iterations
0.00011579063721001148,21.5906925201416,797,0.05,43392,54,24.0,0.02,581.6290625,112
2.480016883055214e-05,100.80575561523438,804,0.05,43776,54,24.0,0.02,560.2573125,113
0.00018678599735721946,13.384300231933594,812,0.05,44160,54,24.0,0.02,590.6115625,114
1.6290292478515767e-05,153.4656219482422,819,0.05,44544,54,24.0,0.02,548.4494375,115
2.4178934836527333e-05,103.39578247070312,826,0.05,44928,54,24.0,0.02,568.06375,116
0.00015705006080679595,15.91849136352539,833,0.05,45312,54,24.0,0.02,587.9140625,117
0.00022959783382248133,10.888604164123535,840,0.05,45696,54,24.0,0.02,593.47125,118
7.298350828932598e-05,34.25431442260742,847,0.05,46080,54,24.0,0.02,586.4830625,119
1.4295615073933732e-05,174.87879943847656,854,0.05,46464,54,24.0,0.02,549.805125,120
0.00011934348731301725,20.94793701171875,861,0.05,46848,54,24.0,0.02,585.0753125,121
0.0003883128229063004,6.438108444213867,868,0.05,47232,54,24.0,0.02,597.9692500000001,122
1.770091512298677e-05,141.2356414794922,875,0.05,47616,54,24.0,0.02,549.0485625,123
0.00018916964472737163,13.21565055847168,882,0.05,48000,54,24.0,0.02,596.7402500000001,124
2.1738558643846773e-05,115.0030288696289,889,0.05,48384,54,24.0,0.02,558.908125,125
0.00012900873844046146,19.37853240966797,896,0.05,48768,54,24.0,0.02,589.9283750000001,126
0.0001670750934863463,14.963330268859863,903,0.05,49152,54,24.0,0.02,591.4476875,127
0.0002070766204269603,12.07282543182373,910,0.05,49536,54,24.0,0.02,593.1076875,128
2.3855254767113365e-05,104.79871368408203,917,0.05,49920,54,24.0,0.02,566.2355625,129
1.2009455531369895e-05,208.16929626464844,925,0.05,50304,54,24.0,0.02,548.4654375,130
3.0188604796421714e-05,82.81270599365234,931,0.05,50688,54,24.0,0.02,576.8578749999999,131
0.00017432664753869176,14.340893745422363,938,0.05,51072,54,24.0,0.02,593.5383750000001,132
3.7433164834510535e-05,66.78569793701172,946,0.05,51456,54,24.0,0.02,576.7496249999999,133
0.00016320390568580478,15.318260192871094,953,0.05,51840,54,24.0,0.02,591.7373124999999,134
0.00023549729667138308,10.615833282470703,959,0.05,52224,54,24.0,0.02,599.548375,135
1.292472006753087e-05,193.42779541015625,966,0.05,52608,54,24.0,0.02,551.0519375,136
