time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/learning_rate,train/std,train/loss,train/entropy_loss
3777,99,-280.03042,53,24.0,202752,0.8913376107811928,0.007487848,-0.009591487978468649,951.8638039588928,0.105419921875,980,0.2,0.0003,0.9346508383750916,486.2181396484375,-14.841221922636032
3816,100,-271.53087999999997,53,24.0,204800,0.8982540592551231,0.012546342,-0.013942162012972404,863.9307662010193,0.15654296875,990,0.2,0.0003,0.933649480342865,343.64593505859375,-14.82682088315487
3855,101,-269.05971,53,24.0,206848,0.9004423394799232,0.0092254225,-0.010496835258527426,781.0361360549927,0.119384765625,1000,0.2,0.0003,0.9312744140625,302.24090576171875,-14.802998501062394
3894,102,-255.15424,53,24.0,208896,0.9104356840252876,0.010217577,-0.013160723172768484,703.8280088424683,0.124755859375,1010,0.2,0.0003,0.9286531805992126,308.6476745605469,-14.773718351125718
3933,103,-243.67572999999996,53,24.0,210944,0.9045509323477745,0.011618781,-0.014839125203434379,678.8649622917176,0.15166015625,1020,0.2,0.0003,0.9284744262695312,215.57933044433594,-14.758069887757301
3972,104,-232.13347000000002,53,24.0,212992,0.9032977521419525,0.010796781,-0.010370090726064518,613.6833216667176,0.132421875,1030,0.2,0.0003,0.928860604763031,372.80584716796875,-14.75838020145893
4011,105,-222.14034999999996,53,24.0,215040,0.9001802280545235,0.013351506,-0.014185922115575521,603.8674085617065,0.16044921875,1040,0.2,0.0003,0.9293171167373657,225.7855682373047,-14.763288494944572
4050,106,-209.42557999999997,53,24.0,217088,0.9051849395036697,0.011630275,-0.012829457102634478,550.4716485023498,0.150537109375,1050,0.2,0.0003,0.9283522963523865,247.40969848632812,-14.759110561013221
4089,107,-197.62703000000002,53,24.0,219136,0.9025859534740448,0.012559976,-0.015999589873536023,566.612682723999,0.154345703125,1060,0.2,0.0003,0.9276859760284424,352.7296447753906,-14.751157420873643
4127,108,-187.44785000000005,53,24.0,221184,0.9042309820652008,0.01365279,-0.01621001424427959,540.3610281944275,0.192041015625,1070,0.2,0.0003,0.9266669750213623,279.2491455078125,-14.736661458015442
4166,109,-179.15393,53,24.0,223232,0.8849070817232132,0.013341275,-0.016702898623771036,556.1234580993653,0.18125,1080,0.2,0.0003,0.92667555809021,295.4712219238281,-14.7302883207798
4204,110,-172.17956999999998,53,24.0,225280,0.8827189058065414,0.014782274,-0.009771644201100571,514.652332019806,0.161962890625,1090,0.2,0.0003,0.9238805174827576,226.0906524658203,-14.714523220062256
