time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/clip_fraction,train/value_loss,train/std,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/entropy_loss
3122,54,83,169984,-338.77787,24,0.0003,0.115478516,3865.980799,0.910992861,0.656009376,-0.003524182,820,1523.110718,0.2,0.009950238,-14.56690859
3160,54,84,172032,-332.31928,24,0.0003,0.106298828,3398.149884,0.91146332,0.672836959,-0.006175434,830,1405.32373,0.2,0.008465966,-14.5575928
3198,54,85,174080,-327.13268,24,0.0003,0.095166016,3186.934152,0.910965919,0.712705225,-0.004447195,840,1763.893921,0.2,0.008767216,-14.55971357
3236,54,86,176128,-318.80767,24,0.0003,0.153173828,2694.174392,0.911136627,0.72325018,-0.011163708,850,528.8250122,0.2,0.010013869,-14.55715213
3275,54,87,178176,-312.29252,24,0.0003,0.151660156,2457.005512,0.908029318,0.763558954,-0.00746387,860,1018.683777,0.2,0.014686108,-14.53942003
3313,54,88,180224,-304.36793,24,0.0003,0.187646484,2334.396209,0.907294214,0.769494042,-0.005967648,870,1047.666382,0.2,0.018760186,-14.51658448
3351,54,89,182272,-300.08062,24,0.0003,0.175830078,2188.292222,0.908435404,0.776199624,-0.01146793,880,1281.96106,0.2,0.013450673,-14.52336796
3390,54,90,184320,-301.4525,24,0.0003,0.180078125,2068.210532,0.908798575,0.788687319,-0.004350985,890,1244.182861,0.2,0.018254837,-14.52799822
3428,54,91,186368,-291.62217,24,0.0003,0.17109375,2161.213851,0.908202887,0.780917197,-0.002357631,900,1288.121948,0.2,0.016872445,-14.52786602
3465,54,92,188416,-284.15981,24,0.0003,0.147802734,1787.844755,0.906017125,0.800030723,-0.004919204,910,492.4023438,0.2,0.016149765,-14.51202808
3504,54,93,190464,-271.37506,24,0.0003,0.168017578,1411.655529,0.905900896,0.825865433,-0.010086461,920,789.7275391,0.2,0.014495161,-14.49707997
3542,54,94,192512,-256.88096,24,0.0003,0.138183594,1123.075305,0.904502928,0.868964657,-0.009816348,930,396.5439758,0.2,0.011189586,-14.48718144
3579,54,95,194560,-244.91246,24,0.0003,0.156689453,856.7416212,0.903467119,0.888978377,-0.008089394,940,423.035675,0.2,0.015783193,-14.47168703
3617,54,96,196608,-232.10721,24,0.0003,0.225830078,868.8119654,0.904271841,0.890902765,-0.014053978,950,303.673645,0.2,0.025166042,-14.47349934
3656,54,97,198656,-224.31579,24,0.0003,0.162255859,776.5765237,0.902959406,0.878912084,-0.011078797,960,383.6003113,0.2,0.011459803,-14.46674091
3694,54,98,200704,-210.91736,24,0.0003,0.242724609,685.8374137,0.901135445,0.894095935,-0.010490288,970,376.653656,0.2,0.020560067,-14.44413174
3732,54,99,202752,-204.73484,24,0.0003,0.190429688,636.1867664,0.899181008,0.90304336,-0.010553433,980,256.1535034,0.2,0.016260784,-14.42130435
3771,54,100,204800,-193.69851,24,0.0003,0.173828125,626.1784433,0.896262527,0.898831889,-0.011433496,990,360.6549988,0.2,0.013832029,-14.3907037
3809,54,101,206848,-177.94191,24,0.0003,0.216894531,573.1831763,0.894890428,0.900298543,-0.011404034,1000,373.3026428,0.2,0.019779736,-14.36689296
3847,54,102,208896,-163.81442,24,0.0003,0.185253906,501.5156544,0.894790232,0.890255876,-0.007931026,1010,134.4561157,0.2,0.017781626,-14.35517659
3886,54,103,210944,-148.07516,24,0.0003,0.216113281,506.349855,0.892676711,0.890928887,-0.008050853,1020,244.9027557,0.2,0.015152765,-14.3432677
3924,54,104,212992,-139.68178,24,0.0003,0.200683594,449.582373,0.889109373,0.899280556,-0.00985646,1030,187.1063232,0.2,0.01781632,-14.30618342
3962,54,105,215040,-130.0597,24,0.0003,0.263037109,416.4651388,0.888531685,0.903352194,-0.004544696,1040,147.9727783,0.2,0.019715112,-14.28090376
4002,54,106,217088,-121.85437,24,0.0003,0.235888672,407.9321574,0.886814833,0.893596672,-0.016444872,1050,194.7825928,0.2,0.02016737,-14.26366382
4040,54,107,219136,-102.90903,24,0.0003,0.267529297,320.1096579,0.883297026,0.907292724,-0.019064242,1060,169.473587,0.2,0.021618787,-14.23069325
4080,54,108,221184,-83.67278,24,0.0003,0.199951172,303.0930526,0.880703151,0.89673464,-0.012295822,1070,158.1993408,0.2,0.02986754,-14.19580339
4120,54,109,223232,-81.54243,24,0.0003,0.230126953,270.3247302,0.880729854,0.888134085,-0.012216219,1080,139.3063354,0.2,0.0177092,-14.18146611
4159,54,110,225280,-70.0257,24,0.0003,0.220556641,278.9626263,0.875227511,0.889576517,-0.009796024,1090,113.4166565,0.2,0.027201705,-14.14727931
4198,54,111,227328,-58.8849,24,0.0003,0.260009766,250.1755625,0.873267114,0.902878888,-0.014525306,1100,113.7947388,0.2,0.019360736,-14.09554012
4237,54,112,229376,-52.36714,24,0.0003,0.187939453,241.9356043,0.8732391,0.879334524,-0.009894917,1110,170.5388489,0.2,0.013828019,-14.08924476
4276,54,113,231424,-43.5808,24,0.0003,0.232861328,202.904879,0.870346844,0.910389058,-0.012745018,1120,110.6284027,0.2,0.015831627,-14.06882561
4317,54,114,233472,-35.75811,24,0.0003,0.231396484,224.0030654,0.871005416,0.875769526,-0.011791053,1130,81.58434296,0.2,0.01734503,-14.05513715
4356,54,115,235520,-28.12688,24,0.0003,0.215234375,236.8393512,0.870117903,0.879900776,-0.005995798,1140,120.9608002,0.2,0.14177091,-14.05102857
4395,54,116,237568,-21.7012,24,0.0003,0.160595703,233.6125987,0.869656801,0.865526736,-0.011081204,1150,95.895401,0.2,0.02031516,-14.04374425
4435,54,117,239616,-14.30592,24,0.0003,0.239648438,218.8521968,0.868445218,0.884925336,-0.013648736,1160,97.2297287,0.2,0.020492727,-14.03645531
4475,53,118,241664,-8.24726,24,0.0003,0.194287109,219.8210652,0.865753114,0.883754909,-0.014093799,1170,107.1523209,0.2,0.020347934,-14.00490437
4515,53,119,243712,-1.02334,24,0.0003,0.197802734,225.7836593,0.863817215,0.877765745,-0.010778862,1180,135.2197571,0.2,0.01884298,-13.97775787
4556,53,120,245760,3.6119,24,0.0003,0.174072266,224.4660053,0.863648951,0.886744089,-0.006643733,1190,70.14526367,0.2,0.019537777,-13.96518177
4595,53,121,247808,10.46209,24,0.0003,0.219238281,245.4342846,0.865052998,0.865810752,-0.013368879,1200,120.6652374,0.2,0.028772956,-13.97220138
4634,53,122,249856,17.0214,24,0.0003,0.210107422,256.9063913,0.86598897,0.863714546,-0.014370918,1210,72.27115631,0.2,0.021995451,-13.98841757
4672,53,123,251904,26.02715,24,0.0003,0.267822266,242.9524779,0.863372803,0.874756694,-0.01158054,1220,173.9893494,0.2,0.020597395,-13.97261303
4711,53,124,253952,32.1282,24,0.0003,0.236474609,277.4514346,0.864187658,0.856397867,-0.010679663,1230,85.45755768,0.2,0.047847077,-13.9614105
4750,53,125,256000,39.0041,24,0.0003,0.216699219,256.2188731,0.866598666,0.867852494,-0.005243696,1240,133.1869202,0.2,0.020402467,-13.9785879
