time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss
552,23,561,-2561.28116,13248,24.0,2162.275634765625,13147,0.28669804334640503,1.4599034786224365,0.0003,121191.984375
556,23,565,-2561.8859399999997,13344,24.0,1691.9365234375,13243,0.5457329750061035,1.4607548713684082,0.0003,66898.03125
560,23,569,-2568.0163,13440,24.0,1895.282470703125,13339,0.24409206211566925,1.4553066492080688,0.0003,26535.375
564,23,573,-2566.42723,13536,24.0,1513.7982177734375,13435,0.44171684980392456,1.4574545621871948,0.0003,49479.32421875
568,23,577,-2573.6873400000004,13632,24.0,1629.574951171875,13531,0.27212807536125183,1.4563446044921875,0.0003,660089.625
572,23,581,-2584.2423999999996,13728,24.0,1628.568603515625,13627,0.7162109017372131,1.4596102237701416,0.0003,613094.0625
576,23,586,-2704.9599,13824,24.0,2224.46142578125,13723,-0.42428186535835266,1.4513745307922363,0.0003,11550064.0
580,23,590,-2733.1342200000004,13920,24.0,1316.1405029296875,13819,0.8024677634239197,1.3904342651367188,0.0003,627891.375
584,23,594,-2767.90534,14016,24.0,2359.3857421875,13915,0.49479562044143677,1.3225061893463135,0.0003,7022748.5
588,23,598,-2785.87813,14112,24.0,1320.42138671875,14011,0.26006436347961426,1.2744957208633423,0.0003,338697.0
592,23,602,-2930.1824799999995,14208,24.0,2410.11962890625,14107,-0.06302742660045624,1.2481670379638672,0.0003,1642565.0
596,23,606,-2955.6246100000003,14304,24.0,2044.188232421875,14203,0.17665669322013855,1.2373754978179932,0.0003,158212.65625
600,23,610,-2968.99076,14400,24.0,1899.090576171875,14299,0.18298690021038055,1.227882981300354,0.0003,196325.21875
604,23,614,-2984.74483,14496,24.0,1989.835205078125,14395,-0.06051022559404373,1.2243475914001465,0.0003,85363.6171875
608,23,618,-3003.573549999999,14592,24.0,2446.024169921875,14491,0.09185491502285004,1.2256604433059692,0.0003,1296107.0
612,23,622,-3020.88838,14688,24.0,1646.2977294921875,14587,0.3230711817741394,1.2301589250564575,0.0003,167598.625
616,23,626,-3016.06369,14784,24.0,1197.86669921875,14683,0.05077841505408287,1.2330416440963745,0.0003,1223116.5
620,23,630,-3000.1383599999995,14880,24.0,1566.8590087890625,14779,-0.020055774599313736,1.24564528465271,0.0003,113177.796875
624,23,634,-3000.5813900000003,14976,24.0,2025.5755615234375,14875,-0.0537109337747097,1.2582324743270874,0.0003,388402.3125
628,23,638,-3005.0044900000003,15072,24.0,1864.134521484375,14971,-0.45008963346481323,1.2809451818466187,0.0003,1117319.0
632,23,642,-3000.66725,15168,24.0,1592.6898193359375,15067,-0.0045115165412425995,1.2856394052505493,0.0003,618326.0
636,23,647,-3000.0376700000006,15264,24.0,1958.031982421875,15163,-0.36978358030319214,1.292750358581543,0.0003,248204.015625
640,23,651,-2998.73772,15360,24.0,1817.11669921875,15259,0.03359236195683479,1.3008382320404053,0.0003,515798.25
644,23,655,-3002.2918100000006,15456,24.0,2299.815185546875,15355,0.12260501086711884,1.3150690793991089,0.0003,977215.25
648,23,659,-3022.49353,15552,24.0,1999.2840576171875,15451,0.10038602352142334,1.3312108516693115,0.0003,1586550.75
652,23,663,-3031.4663700000006,15648,24.0,2621.43115234375,15547,-0.029230594635009766,1.3374974727630615,0.0003,159527.875
656,23,667,-3050.1578400000003,15744,24.0,2493.815673828125,15643,-0.40136292576789856,1.3360278606414795,0.0003,498646.40625
660,23,671,-3051.48689,15840,24.0,2291.6923828125,15739,-0.04823612421751022,1.3403301239013672,0.0003,1779299.75
664,23,675,-3053.6558900000005,15936,24.0,1467.3031005859375,15835,0.6021016240119934,1.340415596961975,0.0003,93038.140625
668,23,679,-3059.7584500000003,16032,24.0,1498.59228515625,15931,-0.24476858973503113,1.3382420539855957,0.0003,287254.5
672,23,683,-3070.0756899999997,16128,24.0,1944.6920166015625,16027,0.33622661232948303,1.3372077941894531,0.0003,232422.5
676,23,687,-2954.4280299999996,16224,24.0,2158.8896484375,16123,-0.055332086980342865,1.336684226989746,0.0003,195042.125
680,23,691,-2937.78641,16320,24.0,1776.876953125,16219,-0.2881212532520294,1.3285698890686035,0.0003,561394.875
684,23,695,-2913.57218,16416,24.0,1673.412353515625,16315,-0.004791073501110077,1.3221708536148071,0.0003,613742.875
688,23,698,-2902.76822,16512,24.0,2229.839111328125,16411,0.0829617828130722,1.3094013929367065,0.0003,814370.625
692,23,702,-2778.46512,16608,24.0,2085.9892578125,16507,0.15273286402225494,1.300092339515686,0.0003,85265.046875
696,23,707,-2773.3103100000008,16704,24.0,2059.700927734375,16603,0.012918755412101746,1.2899060249328613,0.0003,567894.1875
700,23,711,-2781.0682300000003,16800,24.0,2416.478515625,16699,0.21199578046798706,1.279819369316101,0.0003,294149.5625
704,23,715,-2760.5908999999997,16896,24.0,1651.25146484375,16795,0.09757579863071442,1.2721887826919556,0.0003,326846.125
708,23,719,-2755.1355399999993,16992,24.0,1888.136962890625,16891,0.40009385347366333,1.256706953048706,0.0003,61924.671875
712,23,723,-2759.13677,17088,24.0,2010.195556640625,16987,0.24703186750411987,1.2390542030334473,0.0003,126043.25
716,23,727,-2779.0333800000003,17184,24.0,2095.62060546875,17083,-0.11437121033668518,1.2264363765716553,0.0003,860595.75
720,23,731,-2797.17889,17280,24.0,1986.0533447265625,17179,0.1113390401005745,1.216185450553894,0.0003,457758.1875
724,23,734,-2809.81586,17376,24.0,2080.094970703125,17275,0.17596766352653503,1.201981544494629,0.0003,234258.328125
728,23,738,-2829.91583,17472,24.0,2041.330810546875,17371,0.12260348349809647,1.1866328716278076,0.0003,308756.15625
732,23,743,-2837.0368999999996,17568,24.0,1928.266357421875,17467,0.027093052864074707,1.1728477478027344,0.0003,616014.625
736,23,747,-2855.1144499999996,17664,24.0,1747.09619140625,17563,0.11956344544887543,1.1594709157943726,0.0003,416724.3125
740,23,751,-2872.5357799999997,17760,24.0,2105.62939453125,17659,0.03173046559095383,1.1474213600158691,0.0003,199992.65625
744,23,755,-2891.9313500000003,17856,24.0,2483.317138671875,17755,-0.11544906347990036,1.133898138999939,0.0003,510874.375
748,23,760,-2883.8302300000005,17952,24.0,1805.6767578125,17851,-0.04125793278217316,1.116091012954712,0.0003,2215529.5
752,23,766,-2888.2592900000004,18048,24.0,1649.0888671875,17947,0.10795801877975464,1.1013143062591553,0.0003,199723.78125
756,23,771,-2891.88267,18144,24.0,1741.47216796875,18043,-0.002785705029964447,1.086391806602478,0.0003,178422.09375
760,23,775,-2898.07195,18240,24.0,1668.83251953125,18139,0.04274574667215347,1.0746898651123047,0.0003,95170.6484375
764,23,779,-2902.5638999999996,18336,24.0,1935.66845703125,18235,-0.007477855775505304,1.065186858177185,0.0003,199392.21875
768,23,783,-2924.71963,18432,24.0,1537.5982666015625,18331,0.1204543262720108,1.0507673025131226,0.0003,157331.484375
772,23,787,-2930.13228,18528,24.0,1606.28466796875,18427,0.02734438143670559,1.0483601093292236,0.0003,166951.921875
776,23,791,-2940.3844,18624,24.0,1941.9951171875,18523,-0.021138425916433334,1.037380576133728,0.0003,333847.0
780,23,796,-2969.58715,18720,24.0,1630.952880859375,18619,0.038401901721954346,1.0273590087890625,0.0003,867651.4375
784,23,801,-3019.900129999999,18816,24.0,1664.4913330078125,18715,-0.0007647881284356117,1.0168017148971558,0.0003,78980.25
788,23,807,-3086.15453,18912,24.0,1849.993408203125,18811,0.01410788856446743,1.0110217332839966,0.0003,980165.875
792,23,811,-3153.77052,19008,24.0,2005.9796142578125,18907,-0.0020161415450274944,1.0088386535644531,0.0003,76949.0625
796,23,816,-3174.22683,19104,24.0,1645.2325439453125,19003,-5.5389158660545945e-05,1.0047529935836792,0.0003,115771.0
800,23,822,-3193.273940000001,19200,24.0,1787.406005859375,19099,0.0018708453280851245,1.001312017440796,0.0003,457521.0625
804,23,828,-3211.5590399999996,19296,24.0,1600.396728515625,19195,0.008346989750862122,0.9915336966514587,0.0003,403579.6875
808,23,833,-3243.04936,19392,24.0,2047.2459716796875,19291,-0.0003690466983243823,0.9907311201095581,0.0003,123860.5703125
812,23,837,-3262.9582200000004,19488,24.0,2036.6400146484375,19387,0.019384946674108505,0.9836151599884033,0.0003,77340.796875
816,23,842,-3417.5249400000007,19584,24.0,1663.5657958984375,19483,-0.01672936975955963,0.9816784858703613,0.0003,840149.125
