time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/is_line_search_success,train/learning_rate,train/explained_variance,train/policy_objective,train/value_loss,train/n_updates,train/kl_divergence_loss,train/std
5500,24.0,136,50,488.0995599999999,278528,1.0,0.001,0.8849175721406937,0.06770943850278854,2017.3876556396485,135,0.007333296351134777,1.2073355913162231
5542,24.0,137,50,488.79474999999996,280576,1.0,0.001,0.8771660998463631,0.06440015137195587,2051.3008041381836,136,0.007153022568672895,1.206214189529419
5584,24.0,138,50,500.02975999999995,282624,1.0,0.001,0.8783709332346916,0.05091635510325432,2102.6520462036133,137,0.007926835678517818,1.2123013734817505
5624,24.0,139,50,501.83013000000005,284672,1.0,0.001,0.8683574497699738,0.0710461214184761,2258.671068572998,138,0.006803451105952263,1.2157928943634033
5667,24.0,140,50,503.62985999999995,286720,1.0,0.001,0.873552605509758,0.05607793480157852,2264.404005432129,139,0.006578170228749514,1.2178454399108887
5704,24.0,141,50,504.38539,288768,1.0,0.001,0.8745233565568924,0.06549420952796936,2345.4114738464355,140,0.007134696934372187,1.2231122255325317
5744,24.0,142,50,509.5764000000001,290816,1.0,0.001,0.868525356054306,0.0492224246263504,2362.377877807617,141,0.0046071200631558895,1.222837209701538
5786,24.0,143,50,510.10876,292864,1.0,0.001,0.8736536353826523,0.06977618485689163,2235.7277519226072,142,0.006344606168568134,1.2132551670074463
5827,24.0,144,50,515.7324000000001,294912,1.0,0.001,0.9028357714414597,0.05550288408994675,1713.912774658203,143,0.006427143234759569,1.206715703010559
5868,24.0,145,50,521.3491899999999,296960,1.0,0.001,0.9112824574112892,0.055607039481401443,1611.1956130981446,144,0.00548967719078064,1.2005945444107056
5907,24.0,146,50,528.80619,299008,1.0,0.001,0.9141477718949318,0.05548662692308426,1540.3801979064942,145,0.006438848562538624,1.2012425661087036
5948,24.0,147,50,528.5711600000001,301056,1.0,0.001,0.9295189157128334,0.07120208442211151,1387.6552238464355,146,0.006501069758087397,1.208408236503601
5988,24.0,148,50,530.92871,303104,1.0,0.001,0.934913232922554,0.04457426443696022,1017.8131008148193,147,0.009360786527395248,1.2137590646743774
6030,24.0,149,50,533.90418,305152,1.0,0.001,0.9646129757165909,0.05333602428436279,654.5392765045166,148,0.006749474909156561,1.209007978439331
6070,24.0,150,50,544.15477,307200,1.0,0.001,0.9685471244156361,0.08234170079231262,634.0086002349854,149,0.007671549916267395,1.2159199714660645
6110,24.0,151,50,550.2392800000001,309248,1.0,0.001,0.967740386724472,0.06678328663110733,685.7614990234375,150,0.007808990776538849,1.2164719104766846
6151,24.0,152,50,559.8471499999999,311296,1.0,0.001,0.9707310125231743,0.07257735729217529,643.3005197525024,151,0.007509028539061546,1.2181880474090576
6193,24.0,153,50,561.42233,313344,1.0,0.001,0.9711096528917551,0.048814088106155396,617.721648979187,152,0.007056307978928089,1.2143751382827759
6234,24.0,154,50,563.42972,315392,1.0,0.001,0.9705123137682676,0.07012844830751419,643.2801511764526,153,0.008539838716387749,1.214582920074463
6274,24.0,155,50,567.6893200000001,317440,1.0,0.001,0.9715629909187555,0.07152475416660309,638.7518268585205,154,0.007112687453627586,1.2250927686691284
6315,24.0,156,50,571.23959,319488,1.0,0.001,0.971727879717946,0.06628815829753876,618.306643295288,155,0.0070058973506093025,1.2174535989761353
6355,24.0,157,50,578.3346,321536,1.0,0.001,0.9709042608737946,0.0659797415137291,633.7854349136353,156,0.007251335773617029,1.222700834274292
6396,24.0,158,50,586.1695800000001,323584,1.0,0.001,0.9687423929572105,0.05446084216237068,622.2115364074707,157,0.007619952782988548,1.2304050922393799
6437,24.0,159,50,584.0406200000001,325632,1.0,0.001,0.9652750715613365,0.06396187841892242,644.2608465194702,158,0.009675181470811367,1.2414072751998901
6477,24.0,160,50,586.24356,327680,1.0,0.001,0.9711564723402262,0.06859613955020905,660.1377941131592,159,0.0065751164220273495,1.2507652044296265
6519,24.0,161,50,589.3019299999999,329728,1.0,0.001,0.9705054350197315,0.05831872299313545,630.391939163208,160,0.007462464738637209,1.250081181526184
6560,24.0,162,50,594.13099,331776,1.0,0.001,0.9717138390988111,0.06404662877321243,634.2537395477295,161,0.0071159047074615955,1.2511178255081177
6598,24.0,163,50,595.65171,333824,1.0,0.001,0.9716632217168808,0.0640956237912178,625.8170408248901,162,0.007475386373698711,1.2346762418746948
6640,24.0,164,50,602.17258,335872,1.0,0.001,0.9711016733199358,0.0571347251534462,623.2749740600586,163,0.007147572934627533,1.235069751739502
6681,24.0,165,50,602.1363799999999,337920,1.0,0.001,0.9723976813256741,0.06714144349098206,605.8135841369628,164,0.007823370397090912,1.2445759773254395
6722,24.0,166,50,601.0510200000001,339968,1.0,0.001,0.973297193646431,0.06603644788265228,616.1019102096558,165,0.007336537353694439,1.2547264099121094
