train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/step_size,train/iterations,rollout/return_std,time/total_timesteps,time/fps,train/delta_std,time/time_elapsed
0.02,633.1633750000001,24.0,0.0005233054980635643,245,4.7773237228393555,94464,54,0.05,1742
0.02,632.83,24.0,0.0004366105713415891,246,5.725926399230957,94848,54,0.05,1749
0.02,611.0108749999999,24.0,2.5982615625252947e-05,247,96.21817779541016,95232,54,0.05,1756
0.02,634.697125,24.0,0.0015830633928999305,248,1.579216480255127,95616,54,0.05,1764
0.02,631.8949375,24.0,0.0004844255745410919,249,5.1607513427734375,96000,54,0.05,1771
0.02,634.3471875,24.0,0.0011964658042415977,250,2.089486837387085,96384,54,0.05,1778
0.02,635.0733125,24.0,0.0016988853458315134,251,1.4715529680252075,96768,54,0.05,1785
0.02,634.1993124999999,24.0,0.0005262185004539788,252,4.750877857208252,97152,54,0.05,1792
0.02,634.1546875,24.0,0.0009446208132430911,253,2.646564245223999,97536,54,0.05,1799
0.02,631.7588125,24.0,0.00026650779182091355,254,9.38058853149414,97920,54,0.05,1806
0.02,634.5046874999999,24.0,0.0009634910966269672,255,2.5947303771972656,98304,54,0.05,1814
0.02,634.7756875,24.0,0.0020840964280068874,256,1.199560523033142,98688,54,0.05,1821
0.02,633.93975,24.0,0.0005089039332233369,257,4.912518501281738,99072,54,0.05,1828
0.02,634.665625,24.0,0.0015786559088155627,258,1.5836254358291626,99456,54,0.05,1835
0.02,623.3246875,24.0,5.51130942767486e-05,259,45.361270904541016,99840,54,0.05,1842
0.02,595.1975,24.0,1.6198870071093552e-05,260,154.33175659179688,100224,54,0.05,1849
0.02,633.7233125,24.0,0.0004039586638100445,261,6.188752174377441,100608,54,0.05,1856
0.02,633.2051875,24.0,0.0006284161354415119,262,3.978255271911621,100992,54,0.05,1863
0.02,635.5052499999999,24.0,0.0025683774147182703,263,0.973376989364624,101376,54,0.05,1870
0.02,635.6456250000001,24.0,0.0016544380923733115,264,1.5110869407653809,101760,54,0.05,1878
0.02,634.0984375,24.0,0.0005661994800902903,265,4.415404796600342,102144,54,0.05,1885
0.02,634.259,24.0,0.0006388083565980196,266,3.913536310195923,102528,54,0.05,1892
0.02,635.6173125,24.0,0.002491252962499857,267,1.0035109519958496,102912,54,0.05,1899
0.02,635.068,24.0,0.0014532336499541998,268,1.7203013896942139,103296,54,0.05,1906
0.02,635.5638125,24.0,0.002818773966282606,269,0.8869103193283081,103680,54,0.05,1913
0.02,635.424625,24.0,0.0023786495439708233,270,1.0510163307189941,104064,54,0.05,1920
0.02,635.0655624999999,24.0,0.0010464545339345932,271,2.3890187740325928,104448,54,0.05,1927
0.02,635.5244375,24.0,0.0014185310574248433,272,1.762386441230774,104832,54,0.05,1934
0.02,600.471125,24.0,1.8916904082288966e-05,273,132.15692138671875,105216,54,0.05,1941
0.02,636.7581250000001,24.0,0.0015374876093119383,274,1.6260292530059814,105600,54,0.05,1948
0.02,635.1101249999999,24.0,0.0013130831066519022,275,1.9039157629013062,105984,54,0.05,1955
0.02,636.3911249999999,24.0,0.001217902870848775,276,2.052708625793457,106368,54,0.05,1962
0.02,584.663875,24.0,1.2877578228653874e-05,277,194.13587951660156,106752,54,0.05,1970
0.02,636.4453125,24.0,0.0008732466958463192,278,2.8628790378570557,107136,54,0.05,1977
0.02,635.6007500000001,24.0,0.0011784465750679374,279,2.121436595916748,107520,54,0.05,1984
0.02,622.5912500000001,24.0,4.884556619799696e-05,280,51.18171691894531,107904,54,0.05,1991
0.02,634.2584999999999,24.0,0.0003362914139870554,281,7.434028148651123,108288,54,0.05,1998
0.02,635.755625,24.0,0.001369951292872429,282,1.8248822689056396,108672,54,0.05,2005
0.02,635.8556249999999,24.0,0.002238350687548518,283,1.1168936491012573,109056,54,0.05,2012
0.02,631.641875,24.0,0.0001347762590739876,284,18.54926109313965,109440,54,0.05,2019
0.02,635.514375,24.0,0.0024857644457370043,285,1.00572669506073,109824,54,0.05,2026
0.02,505.99375,24.0,7.116985216271132e-06,286,351.2723083496094,110208,54,0.05,2033
0.02,635.5684375000001,24.0,0.0009595367009751499,287,2.60542368888855,110592,54,0.05,2040
0.02,577.528625,24.0,1.623354728508275e-05,288,154.00205993652344,110976,54,0.05,2047
0.02,636.215625,24.0,0.0011461381800472736,289,2.1812374591827393,111360,54,0.05,2054
0.02,635.719375,24.0,0.0006415083771571517,290,3.8970649242401123,111744,54,0.05,2061
0.02,636.1387500000001,24.0,0.001161406864412129,291,2.1525614261627197,112128,54,0.05,2068
0.02,596.2887499999999,24.0,1.581124342919793e-05,292,158.11532592773438,112512,54,0.05,2075
0.02,623.0594375000001,24.0,4.9136669986182824e-05,293,50.87849426269531,112896,54,0.05,2082
0.02,609.1436874999999,24.0,3.4229884477099404e-05,294,73.03559112548828,113280,54,0.05,2089
0.02,587.2106249999999,24.0,1.279384559893515e-05,295,195.4064483642578,113664,54,0.05,2096
