rollout/ep_rew_mean,train/std,train/value_loss,time/time_elapsed,time/total_timesteps,train/n_updates,rollout/ep_len_mean,train/entropy_loss,time/iterations,time/fps,train/policy_loss,train/explained_variance,train/learning_rate
317.76032,1.1134134531021118,62.3503303527832,11879,551500,110299,24.0,-16.434341430664062,110300,46,2.851947069168091,0.9513606913387775,0.0007
317.9598,1.115899920463562,50.34832763671875,11889,552000,110399,24.0,-16.46487808227539,110400,46,-16.90777015686035,0.7326112389564514,0.0007
317.68488,1.1143786907196045,9.34073257446289,11901,552500,110499,24.0,-16.467077255249023,110500,46,-12.84166431427002,0.9913600636646152,0.0007
319.92323,1.1124094724655151,7.264657020568848,11911,553000,110599,24.0,-16.445674896240234,110600,46,37.69953155517578,0.9976120325736701,0.0007
320.68997,1.1134417057037354,2.025430917739868,11923,553500,110699,24.0,-16.439977645874023,110700,46,23.2991943359375,0.9994328598259017,0.0007
320.76018999999997,1.1152396202087402,1.1504162549972534,11933,554000,110799,24.0,-16.455724716186523,110800,46,-12.929445266723633,0.9999441629406647,0.0007
325.68783,1.1110371351242065,272.17987060546875,11944,554500,110899,24.0,-16.41646385192871,110900,46,247.2338409423828,0.9564161077141762,0.0007
330.88779999999997,1.1087114810943604,133.19949340820312,11957,555000,110999,24.0,-16.4022274017334,111000,46,-124.2575454711914,0.7541784793138504,0.0007
331.27795999999995,1.1062910556793213,168.38174438476562,11969,555500,111099,24.0,-16.375913619995117,111100,46,-170.37222290039062,0.9497201852500439,0.0007
325.80591,1.1079840660095215,17.931264877319336,11979,556000,111199,24.0,-16.380023956298828,111200,46,59.32048797607422,0.9927823231555521,0.0007
320.56273,1.1064422130584717,4.452096939086914,11990,556500,111299,24.0,-16.3675479888916,111300,46,-30.8900146484375,0.9970514958258718,0.0007
318.00572999999997,1.1069365739822388,48.75536346435547,12001,557000,111399,24.0,-16.37175941467285,111400,46,54.448387145996094,0.9967039006296545,0.0007
317.25049999999993,1.1042817831039429,164.394775390625,12012,557500,111499,24.0,-16.338775634765625,111500,46,144.49874877929688,0.9329119697213173,0.0007
321.23899,1.108352541923523,124.17585754394531,12024,558000,111599,24.0,-16.372241973876953,111600,46,82.1181869506836,0.7913703322410583,0.0007
332.4522,1.107118010520935,58.33878707885742,12035,558500,111699,24.0,-16.37468719482422,111700,46,-66.8475570678711,0.9569484926760197,0.0007
338.73265,1.1085857152938843,86.41859436035156,12046,559000,111799,24.0,-16.393779754638672,111800,46,158.5234375,0.9963901764713228,0.0007
344.31816000000003,1.1150704622268677,21.153690338134766,12056,559500,111899,24.0,-16.45199203491211,111900,46,66.48963165283203,0.9947362155653536,0.0007
345.00370000000004,1.1159725189208984,25.263036727905273,12066,560000,111999,24.0,-16.458072662353516,112000,46,-50.2633171081543,0.9991286642034538,0.0007
350.8878300000001,1.1176292896270752,163.47012329101562,12077,560500,112099,24.0,-16.474990844726562,112100,46,46.572181701660156,0.8953163400292397,0.0007
352.59328999999997,1.1211192607879639,269.8745422363281,12087,561000,112199,24.0,-16.505231857299805,112200,46,-206.72488403320312,0.6365306675434113,0.0007
356.14723,1.1197279691696167,53.50092315673828,12099,561500,112299,24.0,-16.499631881713867,112300,46,-126.77154541015625,0.9972788027953357,0.0007
357.83797,1.1205941438674927,2.514770746231079,12111,562000,112399,24.0,-16.5081787109375,112400,46,-20.55882453918457,0.9982012851396576,0.0007
363.2351599999999,1.1242873668670654,2.072864532470703,12121,562500,112499,24.0,-16.540987014770508,112500,46,-20.460376739501953,0.9992878837510943,0.0007
365.91248,1.125636100769043,81.3776626586914,12133,563000,112599,24.0,-16.547815322875977,112600,46,-17.579940795898438,0.994970805477351,0.0007
370.6506600000001,1.125357747077942,349.1717224121094,12143,563500,112699,24.0,-16.55047035217285,112700,46,263.09375,0.9744780715554953,0.0007
378.73659999999995,1.1291054487228394,453.30316162109375,12154,564000,112799,24.0,-16.583036422729492,112800,46,282.35430908203125,0.7019913792610168,0.0007
383.69209,1.122868537902832,88.013427734375,12165,564500,112899,24.0,-16.52377700805664,112900,46,-54.005821228027344,0.9269735813140869,0.0007
390.68281,1.1229914426803589,85.22037506103516,12176,565000,112999,24.0,-16.517576217651367,113000,46,137.4088134765625,0.998599739279598,0.0007
393.90914000000004,1.1165447235107422,1.8968560695648193,12187,565500,113099,24.0,-16.460315704345703,113100,46,-22.314687728881836,0.9998479701025644,0.0007
388.63530999999995,1.11503267288208,89.7174301147461,12198,566000,113199,24.0,-16.455577850341797,113200,46,-1.863878607749939,0.9941734955646098,0.0007
378.51759,1.1106425523757935,246.45639038085938,12209,566500,113299,24.0,-16.40520668029785,113300,46,183.2334442138672,0.9042777419090271,0.0007
367.7619899999999,1.1126824617385864,1447.869384765625,12219,567000,113399,24.0,-16.435659408569336,113400,46,496.51483154296875,0.7514251172542572,0.0007
354.84778,1.1123528480529785,1.9072612524032593,12230,567500,113499,24.0,-16.427595138549805,113500,46,-6.389423847198486,0.9983356135198846,0.0007
346.47922000000005,1.1124749183654785,3.454850673675537,12242,568000,113599,24.0,-16.426166534423828,113600,46,-26.819904327392578,0.999155251425691,0.0007
343.00903000000005,1.116145133972168,0.4801487326622009,12253,568500,113699,24.0,-16.458749771118164,113700,46,5.149659633636475,0.9990288076223806,0.0007
339.58268,1.1134119033813477,136.66134643554688,12264,569000,113799,24.0,-16.43143081665039,113800,46,115.528564453125,0.9918588735163212,0.0007
335.05880999999994,1.1169673204421997,650.4912109375,12275,569500,113899,24.0,-16.474882125854492,113900,46,351.61224365234375,0.9178581610321999,0.0007
322.86147,1.113733172416687,140.11154174804688,12286,570000,113999,24.0,-16.436647415161133,114000,46,155.70022583007812,0.7275949120521545,0.0007
313.61965999999995,1.113074779510498,13.077791213989258,12297,570500,114099,24.0,-16.424238204956055,114100,46,40.6937255859375,0.9942417768761516,0.0007
308.06373,1.1103549003601074,131.71530151367188,12308,571000,114199,24.0,-16.383432388305664,114200,46,189.3233184814453,0.9992449632845819,0.0007
311.55967999999996,1.1088624000549316,2.5174670219421387,12319,571500,114299,24.0,-16.36253547668457,114300,46,22.465957641601562,0.9991278843372129,0.0007
312.76576,1.1134514808654785,17.907047271728516,12330,572000,114399,24.0,-16.40605926513672,114400,46,-19.8165283203125,0.9987372322939336,0.0007
321.89633000000003,1.112445592880249,97.74198150634766,12340,572500,114499,24.0,-16.402889251708984,114500,46,-84.64524841308594,0.9378173276782036,0.0007
327.71562000000006,1.1137551069259644,379.4537658691406,12350,573000,114599,24.0,-16.41793441772461,114600,46,266.99383544921875,0.8056078851222992,0.0007
323.66676,1.1159815788269043,197.5162353515625,12361,573500,114699,24.0,-16.436439514160156,114700,46,-152.5332489013672,0.8925336375832558,0.0007
319.76907000000006,1.1202081441879272,8.488504409790039,12372,574000,114799,24.0,-16.47550392150879,114800,46,48.9033317565918,0.9997526282968465,0.0007
318.01346000000007,1.1235947608947754,0.6736261248588562,12383,574500,114899,24.0,-16.508771896362305,114900,46,-9.963762283325195,0.9992750285309739,0.0007
313.27053,1.1252527236938477,60.62046432495117,12394,575000,114999,24.0,-16.52651023864746,115000,46,98.73226928710938,0.9975367407314479,0.0007
313.49897999999996,1.1266224384307861,122.89579772949219,12406,575500,115099,24.0,-16.535350799560547,115100,46,66.92169952392578,0.9008382707834244,0.0007
321.61671000000007,1.1244405508041382,198.94378662109375,12417,576000,115199,24.0,-16.524085998535156,115200,46,-202.08462524414062,0.7277882397174835,0.0007
323.21107,1.124604344367981,55.30226516723633,12428,576500,115299,24.0,-16.521800994873047,115300,46,-40.214927673339844,0.9575785845518112,0.0007
321.85983000000004,1.1236834526062012,24.829273223876953,12439,577000,115399,24.0,-16.515222549438477,115400,46,76.2591781616211,0.9972279996145517,0.0007
318.67886999999996,1.1242681741714478,0.4682996869087219,12450,577500,115499,24.0,-16.513193130493164,115500,46,5.760313987731934,0.9992893603048287,0.0007
313.39356,1.1208523511886597,3.4318013191223145,12461,578000,115599,24.0,-16.474428176879883,115600,46,6.0523271560668945,0.9997060066671111,0.0007
305.45194,1.1246453523635864,69.44934844970703,12472,578500,115699,24.0,-16.502779006958008,115700,46,81.63404846191406,0.9315702095627785,0.0007
300.3436300000001,1.1267727613449097,294.9098205566406,12483,579000,115799,24.0,-16.5245361328125,115800,46,225.1964569091797,0.6688222587108612,0.0007
