time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/value_loss,train/clip_fraction,train/std,train/entropy_loss,train/n_updates,train/loss,train/approx_kl,train/policy_gradient_loss,train/clip_range
49,4444,219136,24.0,107,-309.28661000000005,0.0003,0.8309626132249832,1867.3455266952515,0.103564453125,0.9923326969146729,-15.490735039114952,1060,668.1651000976562,0.009605759,-0.006725404254393652,0.2
49,4484,221184,24.0,108,-310.90513000000004,0.0003,0.8410044014453888,1753.9988828659057,0.100146484375,0.9945381283760071,-15.505326110124589,1070,828.9292602539062,0.009659506,-0.006644580624561058,0.2
49,4526,223232,24.0,109,-298.89139,0.0003,0.838983416557312,1716.1039489746095,0.102734375,0.9931014776229858,-15.509406152367593,1080,863.59375,0.008652694,-0.009823187092843,0.2
49,4567,225280,24.0,110,-294.4146,0.0003,0.837448388338089,1611.9237894058228,0.071435546875,0.9915960431098938,-15.493122312426568,1090,604.0413208007812,0.0075958637,-0.006666506887995638,0.2
49,4613,227328,24.0,111,-282.53502000000003,0.0003,0.8556908816099167,1474.85890417099,0.107275390625,0.9918838739395142,-15.487251508235932,1100,687.628173828125,0.008944794,-0.009160154110577422,0.2
49,4654,229376,24.0,112,-277.23916,0.0003,0.8567627370357513,1394.6329245567322,0.07958984375,0.9921128749847412,-15.491253703832626,1110,855.6914672851562,0.0071750437,-0.007849938290019055,0.2
49,4697,231424,24.0,113,-267.14471,0.0003,0.8657478392124176,1189.2149827957153,0.099755859375,0.9931375980377197,-15.497144415974617,1120,653.6282958984375,0.007887425,-0.01163480805917061,0.2
49,4740,233472,24.0,114,-263.62149,0.0003,0.8751612976193428,986.2650650978088,0.126513671875,0.993701696395874,-15.506185114383698,1130,381.3834228515625,0.009917664,-0.01131168348074425,0.2
49,4783,235520,24.0,115,-252.23650000000006,0.0003,0.8906915858387947,929.5951515197754,0.122119140625,0.9950926303863525,-15.516896578669549,1140,567.3255615234375,0.009863591,-0.013241045868198853,0.2
49,4830,237568,24.0,116,-241.49485999999996,0.0003,0.9054222404956818,827.4992878913879,0.10654296875,0.993966817855835,-15.517646637558936,1150,440.69512939453125,0.008690424,-0.009934278656146489,0.2
49,4871,239616,24.0,117,-231.95426,0.0003,0.8896928951144218,817.0702137947083,0.152587890625,0.9944211840629578,-15.513540497422218,1160,328.4895324707031,0.015005095,-0.01445592554518953,0.2
49,4916,241664,24.0,118,-224.26863999999998,0.0003,0.8922709599137306,767.8968475341796,0.147900390625,0.992913007736206,-15.507002210617065,1170,608.8855590820312,0.010912678,-0.011464974984119181,0.2
49,4959,243712,24.0,119,-210.95375,0.0003,0.894623801112175,759.8691346168519,0.161376953125,0.9886589050292969,-15.472465750575065,1180,377.8358154296875,0.010754729,-0.01703695973556023,0.2
49,5003,245760,24.0,120,-203.27692000000002,0.0003,0.8860048055648804,778.0940574645996,0.15625,0.9874876141548157,-15.444281378388405,1190,166.82350158691406,0.013733227,-0.016603258132818155,0.2
49,5046,247808,24.0,121,-188.75824999999998,0.0003,0.8771373555064201,742.9126519203186,0.1123046875,0.9868516325950623,-15.439329418540002,1200,304.30645751953125,0.008521058,-0.009812699420581338,0.2
49,5087,249856,24.0,122,-178.74203,0.0003,0.8605087250471115,774.4674916267395,0.10556640625,0.9861709475517273,-15.427755317091941,1210,248.54063415527344,0.008013813,-0.00953055359714199,0.2
49,5133,251904,24.0,123,-168.24479000000002,0.0003,0.8513873070478439,809.8995239257813,0.137109375,0.9860141277313232,-15.421775531768798,1220,613.2272338867188,0.012784168,-0.008987675086245872,0.2
49,5177,253952,24.0,124,-156.56813999999997,0.0003,0.837588757276535,805.3721448898316,0.155322265625,0.9834222793579102,-15.409110030531883,1230,305.0008239746094,0.011386005,-0.012385704235930462,0.2
49,5218,256000,24.0,125,-152.80215,0.0003,0.8181165605783463,679.3555157661438,0.12548828125,0.9809814691543579,-15.382577711343766,1240,256.7890319824219,0.008369401,-0.012526550616894384,0.2
49,5261,258048,24.0,126,-140.95593,0.0003,0.8484591692686081,657.9582822799682,0.154638671875,0.9789783358573914,-15.360413488745689,1250,364.81768798828125,0.011987237,-0.0134647706116084,0.2
48,5308,260096,24.0,127,-127.20126,0.0003,0.8149927705526352,686.1934401512146,0.15458984375,0.9791437387466431,-15.352746427059174,1260,245.25286865234375,0.01131105,-0.014940855251916218,0.2
48,5350,262144,24.0,128,-119.68581999999998,0.0003,0.8109556883573532,703.7654560089111,0.174853515625,0.9782893657684326,-15.346358293294907,1270,243.85386657714844,0.013781136,-0.012917217110953061,0.2
48,5397,264192,24.0,129,-105.38137,0.0003,0.7972567975521088,733.663290309906,0.199658203125,0.9763811230659485,-15.332778918743134,1280,262.1216735839844,0.014125185,-0.01775703182356665,0.2
48,5440,266240,24.0,130,-99.16289999999998,0.0003,0.7587246298789978,787.7764772891999,0.153759765625,0.974304735660553,-15.309635618329049,1290,275.337890625,0.012981772,-0.012749425500805956,0.2
48,5483,268288,24.0,131,-92.90854999999999,0.0003,0.7147027850151062,797.5581010341645,0.1451171875,0.9730009436607361,-15.289992317557335,1300,554.420166015625,0.009951501,-0.00993211375316605,0.2
48,5530,270336,24.0,132,-88.29151999999998,0.0003,0.7204433977603912,760.395351266861,0.13583984375,0.9731824398040771,-15.27890704870224,1310,314.76220703125,0.010423364,-0.006746850739000365,0.2
48,5572,272384,24.0,133,-79.64575,0.0003,0.7294928729534149,729.5535063743591,0.181884765625,0.973829984664917,-15.2849733710289,1320,350.4851379394531,0.015145545,-0.012280363089666934,0.2
48,5617,274432,24.0,134,-69.61937999999999,0.0003,0.6651076078414917,790.5738096237183,0.16201171875,0.9753114581108093,-15.300612619519233,1330,476.1534729003906,0.010249503,-0.011526976909954101,0.2
48,5666,276480,24.0,135,-64.36836,0.0003,0.6327584385871887,835.3393030166626,0.19404296875,0.973239541053772,-15.295558401942253,1340,438.5885314941406,0.016186757,-0.014861267546075396,0.2
48,5709,278528,24.0,136,-57.00706000000002,0.0003,0.6455985903739929,784.8978831768036,0.142822265625,0.9728891253471375,-15.280984079837799,1350,355.7055969238281,0.012345113,-0.009261485991009977,0.2
48,5752,280576,24.0,137,-46.97442,0.0003,0.6268862783908844,820.044480228424,0.178857421875,0.9722301959991455,-15.271698248386382,1360,402.9788513183594,0.014737259,-0.010705719806719572,0.2
48,5794,282624,24.0,138,-40.27157,0.0003,0.5947147309780121,868.1470681667328,0.13935546875,0.9691506028175354,-15.258553227782249,1370,285.7944030761719,0.010753619,-0.011160143982851877,0.2
48,5837,284672,24.0,139,-33.7078,0.0003,0.5601110756397247,788.3256887912751,0.17060546875,0.9665841460227966,-15.223133632540703,1380,279.0375061035156,0.013272831,-0.011548071219294798,0.2
48,5882,286720,24.0,140,-26.83849,0.0003,0.6405807733535767,704.9546620368958,0.190966796875,0.964904248714447,-15.196133175492287,1390,226.9936981201172,0.016339868,-0.013674603248364291,0.2
48,5927,288768,24.0,141,-21.565060000000003,0.0003,0.6058860719203949,729.8603170394897,0.137548828125,0.967263400554657,-15.203609418869018,1400,274.29425048828125,0.010690207,-0.010291802798747085,0.2
48,5970,290816,24.0,142,-13.12089,0.0003,0.632670521736145,712.8180796146393,0.166650390625,0.964419960975647,-15.198115995526313,1410,233.3007049560547,0.010754591,-0.01297238782135537,0.2
48,6013,292864,24.0,143,-1.2991200000000003,0.0003,0.5975908637046814,746.2419574260712,0.15390625,0.9656215310096741,-15.193123695254325,1420,190.48226928710938,0.011750252,-0.009716686110186857,0.2
48,6055,294912,24.0,144,2.7514199999999995,0.0003,0.5461413264274597,823.0359951019287,0.17490234375,0.9654840230941772,-15.197588574886321,1430,424.4453430175781,0.012707671,-0.013813025079434738,0.2
48,6099,296960,24.0,145,7.638589999999999,0.0003,0.55475053191185,786.4948140621185,0.12734375,0.9621762633323669,-15.175941398739814,1440,359.1220703125,0.009494361,-0.010367244383087382,0.2
48,6147,299008,24.0,146,15.543270000000001,0.0003,0.5521236658096313,809.5551928520202,0.144921875,0.9643755555152893,-15.167421704530716,1450,500.61700439453125,0.0133319115,-0.009318003796215635,0.2
48,6191,301056,24.0,147,27.726860000000002,0.0003,0.5712666213512421,711.28505859375,0.22158203125,0.9620275497436523,-15.163813424110412,1460,174.22059631347656,0.017418586,-0.01486244390689535,0.2
48,6237,303104,24.0,148,28.771339999999995,0.0003,0.6098395586013794,648.2218935728073,0.15546875,0.9601255655288696,-15.141374278068543,1470,236.0126190185547,0.013101158,-0.00961571784428088,0.2
48,6278,305152,24.0,149,39.296659999999996,0.0003,0.7106618285179138,533.1830473899842,0.176318359375,0.9599458575248718,-15.1290024548769,1480,185.3311309814453,0.012722701,-0.01016419602019596,0.2
48,6321,307200,24.0,150,48.20618,0.0003,0.7060505449771881,554.9563313007354,0.155126953125,0.9581790566444397,-15.117885300517083,1490,315.5015869140625,0.009039491,-0.01081830941257067,0.2
48,6364,309248,24.0,151,57.87047,0.0003,0.6803261041641235,619.4921178102493,0.181201171875,0.9606130123138428,-15.11910926103592,1500,292.78900146484375,0.018562509,-0.011124837530951481,0.2
48,6409,311296,24.0,152,64.52298,0.0003,0.6656133234500885,673.2734724998475,0.120654296875,0.9604989886283875,-15.13406608402729,1510,413.2921447753906,0.010435107,-0.005673258091701427,0.2
48,6451,313344,24.0,153,71.51344,0.0003,0.6921939551830292,662.3454238891602,0.16806640625,0.956703245639801,-15.11270169019699,1520,431.41748046875,0.013022477,-0.011119834169221576,0.2
48,6498,315392,24.0,154,76.25428,0.0003,0.6744769811630249,700.1646141529084,0.1564453125,0.9527229070663452,-15.06894363462925,1530,522.9896850585938,0.016816078,-0.011956198982079513,0.2
48,6541,317440,24.0,155,83.04916000000001,0.0003,0.6990122497081757,541.4247249603271,0.180419921875,0.9533833861351013,-15.051435446739196,1540,128.94381713867188,0.015648367,-0.009572253470832948,0.2
48,6583,319488,24.0,156,87.18024000000001,0.0003,0.7384113967418671,569.6015845298767,0.166162109375,0.9504072070121765,-15.034111741185189,1550,250.20298767089844,0.028837014,-0.009340506889566313,0.2
48,6628,321536,24.0,157,96.95594000000001,0.0003,0.7323476672172546,610.1872002601624,0.220751953125,0.9508251547813416,-15.022279608249665,1560,252.49331665039062,0.016481858,-0.012016507900261786,0.2
48,6671,323584,24.0,158,103.53372999999999,0.0003,0.7346806228160858,635.7933223724365,0.16005859375,0.9505813121795654,-15.02151903808117,1570,275.3160705566406,0.011540767,-0.009328358009224758,0.2
48,6721,325632,24.0,159,111.03787,0.0003,0.7412748336791992,630.2583632469177,0.203271484375,0.9492689371109009,-15.011547458171844,1580,368.9294128417969,0.0138179455,-0.01443095763315796,0.2
48,6768,327680,24.0,160,114.84689000000002,0.0003,0.7490431666374207,645.8368000507355,0.14794921875,0.9487394690513611,-15.00144085586071,1590,197.93545532226562,0.007893631,-0.006605800964462105,0.2
48,6812,329728,24.0,161,122.83522,0.0003,0.7622483819723129,642.5751728057861,0.179248046875,0.948291003704071,-14.995509019494056,1600,98.71571350097656,0.011420014,-0.011126929000602104,0.2
48,6854,331776,24.0,162,127.52239999999998,0.0003,0.7643716633319855,667.3270159244537,0.133203125,0.9498870968818665,-15.002737453579902,1610,414.4232482910156,0.012230754,-0.006653911135799717,0.2
48,6898,333824,24.0,163,131.61903,0.0003,0.764437198638916,663.984596157074,0.130517578125,0.9471692442893982,-14.992637911438942,1620,127.47953033447266,0.008342063,-0.007316406129757524,0.2
48,6943,335872,24.0,164,137.67925,0.0003,0.7751565873622894,673.3435807704925,0.159716796875,0.947439432144165,-14.98323713839054,1630,284.4187927246094,0.010074182,-0.007990282283572014,0.2
48,6987,337920,24.0,165,137.61211,0.0003,0.7857979536056519,685.8082852363586,0.145263671875,0.9450326561927795,-14.97230444252491,1640,193.0234375,0.020137943,-0.006849829244310967,0.2
48,7027,339968,24.0,166,143.32623,0.0003,0.8139006644487381,596.6977151393891,0.120751953125,0.9475694298744202,-14.973054516315461,1650,89.01463317871094,0.011273684,-0.007891357486369089,0.2
48,7069,342016,24.0,167,144.99985999999998,0.0003,0.8243319392204285,618.3258946418762,0.085107421875,0.9479520320892334,-14.988303872942925,1660,247.70242309570312,0.010936404,-0.001891630721729598,0.2
48,7118,344064,24.0,168,149.13107,0.0003,0.8260151296854019,606.8277095317841,0.143017578125,0.9483680725097656,-14.988690140843392,1670,246.9872589111328,0.043060668,0.0053935560601530595,0.2
48,7160,346112,24.0,169,152.74906000000001,0.0003,0.8400652557611465,601.8743749141693,0.1142578125,0.9461137652397156,-14.979441410303115,1680,473.0577087402344,0.031808972,-0.006173331593890908,0.2
48,7203,348160,24.0,170,155.52105999999998,0.0003,0.8333177417516708,638.2594753742218,0.104736328125,0.9451215863227844,-14.960456475615501,1690,351.8349304199219,0.009266545,-0.009024975034117233,0.2
48,7247,350208,24.0,171,161.44527,0.0003,0.8519140481948853,622.7198795318603,0.1587890625,0.9431835412979126,-14.94187942147255,1700,458.6397399902344,0.024798496,-0.0059235306980554014,0.2
48,7287,352256,24.0,172,164.58884,0.0003,0.8498331904411316,662.635097694397,0.105859375,0.943859875202179,-14.931818535923957,1710,390.0198974609375,0.010868374,-0.005789036290661897,0.2
48,7330,354304,24.0,173,163.39622,0.0003,0.8518272638320923,671.9302890300751,0.120458984375,0.9443784356117249,-14.944617187976837,1720,287.3853759765625,0.009066563,-0.006123054258932825,0.2
48,7375,356352,24.0,174,168.07298,0.0003,0.861189067363739,609.7086582183838,0.1349609375,0.9453896880149841,-14.946389469504357,1730,401.6943664550781,0.009463954,-0.008190684480359778,0.2
48,7418,358400,24.0,175,173.46247,0.0003,0.8728757500648499,586.4251500606537,0.15830078125,0.9463366866111755,-14.95979646742344,1740,320.3242492675781,0.012951146,-0.008793557850003709,0.2
48,7460,360448,24.0,176,174.03212000000002,0.0003,0.8725344389677048,610.5570017814637,0.1017578125,0.9444283843040466,-14.9581788033247,1750,275.8799133300781,0.023967344,-0.006794551937491633,0.2
48,7505,362496,24.0,177,177.35658999999998,0.0003,0.8771911934018135,574.956162238121,0.1232421875,0.9450322985649109,-14.948147255182267,1760,325.34844970703125,0.014330877,-0.004273932264914038,0.2
