time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/is_line_search_success,train/kl_divergence_loss,train/learning_rate,train/policy_objective,train/explained_variance,train/n_updates,train/std,train/value_loss
270336,24.0,571.3773199999999,132,4985,54,1.0,0.00876274798065424,0.001,0.07256907969713211,0.9899088153615594,131,1.0742493867874146,249.2750933647156
272384,24.0,574.53716,133,5023,54,1.0,0.009001927450299263,0.001,0.061057716608047485,0.989623143337667,132,1.0746970176696777,235.08890733718872
274432,24.0,581.65409,134,5060,54,1.0,0.009053568355739117,0.001,0.07461629807949066,0.989245718345046,133,1.0740731954574585,239.21284828186035
276480,24.0,587.8314899999999,135,5097,54,1.0,0.009142470546066761,0.001,0.05244153365492821,0.9867087490856647,134,1.0744385719299316,258.7617778778076
278528,24.0,589.9407399999999,136,5135,54,1.0,0.008633609861135483,0.001,0.05779748409986496,0.9890000112354755,135,1.074145793914795,262.635018825531
280576,24.0,596.04974,137,5172,54,1.0,0.007957571186125278,0.001,0.05702339485287666,0.9897738564759493,136,1.0728551149368286,247.40548658370972
282624,24.0,600.13592,138,5210,54,1.0,0.008914872072637081,0.001,0.05993722751736641,0.9897410748526454,137,1.071802020072937,239.929669380188
284672,24.0,601.84735,139,5249,54,1.0,0.009903082624077797,0.001,0.06553706526756287,0.9902442349120975,138,1.075989842414856,219.47507734298705
286720,24.0,604.4344999999998,140,5289,54,1.0,0.007992326281964779,0.001,0.08599931001663208,0.9904319448396564,139,1.0760852098464966,216.9572253227234
288768,24.0,607.12406,141,5327,54,1.0,0.0084399888291955,0.001,0.05289817601442337,0.9916551364585757,140,1.076905369758606,202.31234006881715
290816,24.0,608.91296,142,5366,54,1.0,0.008787930011749268,0.001,0.0484306663274765,0.9921071017161012,141,1.079539179801941,187.72380208969116
292864,24.0,608.18501,143,5404,54,1.0,0.00739073334261775,0.001,0.03700186684727669,0.9923201366327703,142,1.0796113014221191,179.37168865203859
294912,24.0,608.30766,144,5443,54,1.0,0.008641677908599377,0.001,0.05843568965792656,0.992945168633014,143,1.0802735090255737,172.73461351394653
296960,24.0,607.71663,145,5482,54,1.0,0.009474371559917927,0.001,0.06035412475466728,0.9928021878004074,144,1.0766890048980713,159.23709745407103
299008,24.0,606.6524800000001,146,5520,54,1.0,0.00886237621307373,0.001,0.046530790627002716,0.9936921140179038,145,1.07280695438385,151.90899744033814
301056,24.0,607.92714,147,5559,54,1.0,0.009181481786072254,0.001,0.06831768155097961,0.9916197182610631,146,1.0716042518615723,194.7472767829895
303104,24.0,608.27276,148,5599,54,1.0,0.0085219731554389,0.001,0.045658715069293976,0.9843930210918188,147,1.07120943069458,162.558824968338
305152,24.0,608.4767100000001,149,5637,54,1.0,0.00883606169372797,0.001,0.049981120973825455,0.9927668203599751,148,1.0704535245895386,170.43655486106871
307200,24.0,608.3639400000001,150,5675,54,1.0,0.008067004382610321,0.001,0.05872751772403717,0.9940652186051011,149,1.067245364189148,143.44956588745117
309248,24.0,609.09571,151,5714,54,1.0,0.007031066343188286,0.001,0.044982340186834335,0.9934866805560887,150,1.0677192211151123,158.87422757148744
311296,24.0,608.58644,152,5753,54,1.0,0.008399485610425472,0.001,0.056230079382658005,0.9933700724504888,151,1.0632292032241821,149.47765955924987
313344,24.0,608.46216,153,5792,54,1.0,0.008787139318883419,0.001,0.06717877089977264,0.9933441369794309,152,1.0597336292266846,144.17915349006654
315392,24.0,608.5180399999999,154,5830,54,1.0,0.009613672271370888,0.001,0.036929674446582794,0.9932069340720773,153,1.058283805847168,145.8457848548889
317440,24.0,608.0276700000001,155,5868,54,1.0,0.00854136049747467,0.001,0.04317079111933708,0.9942762008868158,154,1.0591068267822266,140.17644228935242
319488,24.0,608.76424,156,5906,54,1.0,0.009013328701257706,0.001,0.0569969043135643,0.9940147073939443,155,1.0588209629058838,149.66979923248292
321536,24.0,610.0447399999999,157,5944,54,1.0,0.009070048108696938,0.001,0.050219591706991196,0.9939059135504067,156,1.0582249164581299,136.12563524246215
323584,24.0,609.3412599999999,158,5981,54,1.0,0.008460313081741333,0.001,0.06242712587118149,0.9943433487787843,157,1.0568146705627441,131.70601191520691
325632,24.0,608.96293,159,6019,54,1.0,0.009156023152172565,0.001,0.06387817114591599,0.9947307831607759,158,1.0558627843856812,134.66088824272157
